song_id,PC1_difference,PC2_difference,PC3_difference,PC4_difference,PC5_difference,PC6_difference
AChangeIsGonnaCome_SamCooke,-2.9141364803801393,1.4004955984328689,0.014446672969998797,-0.5580260457876505,-1.962129253268538,-0.5426078892041666
AnotherOneBitesTheDust_Queen,0.11851969364333603,-0.8185697610076093,-0.2400602127258707,-0.8397420282273571,-0.17789809733849085,1.360587119576687
BadDay_DanielPowter,0.770438421456288,2.532140039203199,-1.5005306813866277,2.982222513150652,-4.5717278848089435,-0.10262905899312624
BetteDavisEyes_KimCarnes,-1.3651216004291755,-1.3847048786412837,0.40747716714866555,1.3276982136495894,-1.7005115393451145,0.4545301425493061
BlindingLights_TheWeeknd,-3.20620101087871,-1.054564452446413,2.3161416994567663,0.14231767810571788,-1.250335041087762,0.02869614630248113
BlurredLines_RobinThicke,-1.596988018305849,-0.19187123477327395,-0.44342092492092755,-0.7972462743725826,-0.45836615677729015,0.34000277949382096
BohemianRhapsody_Queen,1.0659712358145828,-1.1611362975447403,-0.11502872188668145,0.5466790168917812,1.941527003052571,0.7212658734551531
BridgeOverTroubledWater_SimonAndGarfunkel,-7.109713070728811,-2.929403304109609,2.213599974306404,-2.1486985335629685,-2.9670173258826127,0.3158743181479424
ComeAndGetYourLove_Redbone,2.724865560322703,-0.5795975906951467,-0.3137575973398504,-1.4532185655830352,0.0859952413642261,0.36164732467365107
CrazyInLove_BeyonceFtJayZ,2.2745897597216604,-3.638532353825731,1.4684151243071581,-2.570880081456071,0.17505514712009906,-1.1502382429298663
Despacito_LuisFonsiDaddyYankee,3.4855286318171173,-0.03954028035546697,-2.016368601537506,0.2696764020543966,-1.024802512035121,0.29868138962015045
Dilemma_NellyKellyRowland,1.5489648978573993,-0.7191743469558771,-0.096742142560444,0.11874377639500744,2.464636122150585,0.2565470677447751
Dreams_FleetwoodMac,-2.4802928571187177,-0.8895773377193826,0.6130628942851345,-2.972056186843766,0.9993466212566061,-0.33599896145699026
EndlessLove_DianaRossLionelRichie,-4.3264145100196,-0.12305949730020638,0.3112134690771072,-0.41467272602487265,-1.1200845826090138,1.0374570833241668
EyeOfTheTiger_Survivor,1.4071894773681057,1.0089599016624384,-1.6949788088361766,-1.555587891105393,-1.1071338126044907,1.297167052226207
