song_id,mean_sim,sd_sim,rms_difference,spectral_bandwidth_difference,spectral_centroid_difference,spectral_contrast_difference,spectral_flatness_difference,spectral_rolloff_difference,zero_crossing_rate_difference,mfccs_offset_difference,mfcc1_difference,mfcc2_difference,mfcc3_difference,mfcc4_difference,mfcc5_difference,mfcc6_difference,mfcc7_difference,mfcc8_difference,mfcc9_difference,mfcc10_difference,mfcc11_difference,mfcc12_difference,mfccs_dist,tempo_difference,key_difference,treble_difference,tbb_difference,voice_type_difference,mean_valence_difference,mean_arousal_difference
ComeAndGetYourLove_Redbone,4.464383504911111,1.5497423158037449,-0.03248,888.8000000000002,617.3899999999999,0.8100000000000023,2.7e-4,1673.5099999999993,0.005580000000000002,-34.91452000000001,-32.097139999999996,22.013499999999993,-4.839264,-22.0142887,10.835424,-2.8771291000000003,6.815498,-3.2945939,11.36212406,-1.9109533,14.887011300000001,3.6075244,50.72715793283261,-4,-1,0,0,0,0.18522198367346937,-0.015714639816326537
CrazyInLove_BeyonceFtJayZ,3.3219833904888887,1.4694118132986889,0.02352,601.5500000000002,204.9699999999998,0.28999999999999915,-0.00824,693.1700000000001,-0.016149999999999998,54.22998000000001,-17.121290000000016,8.709722999999997,4.594920999999999,16.465681,25.815995,-2.7895190000000003,25.720795,1.04645692,15.362831,6.622074999999999,17.1868728,10.856297,51.87723404572986,-41,0,0,0,0,0.09444108344897958,0.19992590924489798
Despacito_LuisFonsiDaddyYankee,5.2117046812325585,1.2310990898423748,0.012649999999999995,887.5,1342.1599999999999,-0.9500000000000028,-0.01031,3019.330000000001,0.034670000000000006,54.37085999999999,-30.702285000000003,-9.813228500000001,-10.920865,-13.0464604,-6.407144000000002,-4.6359200000000005,13.765603,-11.1682506,6.907844300000001,4.5542,0.5632270999999998,-5.4295713,42.466770477793304,0,-1,0,0,0,0.028109908571428574,0.11106995889795919
Dilemma_NellyKellyRowland,3.1077624669999997,1.6994678570131778,-0.028620000000000007,623.56,620.9199999999998,0.9199999999999982,4e-5,1461.0299999999997,0.009640000000000003,-7.818339999999978,-42.143280000000004,3.6354059999999997,20.053218,3.4273610000000003,5.766995999999999,-0.8692590000000002,9.224337,14.118980299999999,-7.948800499999999,-0.5378657000000002,-1.3326004000000005,-2.0859126999999997,50.90381142817965,-16,1,-1,1,2,0.10460761563265307,-0.0029862954693877647
Dreams_FleetwoodMac,3.2355667581136363,1.5185746114824064,-0.004090000000000003,-399.3600000000001,-1046.4399999999998,-0.39000000000000057,-2.8000000000000003e-4,-2479.9300000000003,-0.03305,-67.66714999999999,11.060489999999987,43.956499,6.786752999999997,32.3692565,-7.516966000000002,-3.61716,13.984962000000001,2.8406195000000003,-7.947856400000001,8.8670161,8.8214518,-2.0501654,60.37704462391847,2,2,-1,1,2,0.018466582795918368,-0.04235444373469388
EndlessLove_DianaRossLionelRichie,5.405515892386363,1.376605026320445,-0.012899999999999995,-987.7400000000002,-1095.78,-0.13999999999999702,-1.3000000000000002e-4,-3065.74,-0.01706,-47.18610000000001,37.57495,8.710017999999998,-29.392963,13.5055976,-14.829801999999999,12.524614,-3.888420000000001,6.6308506,-0.3710186000000002,4.3473533699999996,-3.0163808999999997,1.9827377000000004,54.79080792565046,-6,0,0,0,0,0.0399103583877551,-0.032717545102040835
EyeOfTheTiger_Survivor,5.609114517863636,0.9115347855057904,-0.02395,524.8199999999997,563.4500000000003,-0.379999999999999,1.7e-4,1133.9899999999998,0.016530000000000003,-20.62514999999999,-22.198399999999992,4.582248,-25.729240000000004,14.483146999999999,-8.619982999999998,-15.829492,8.025147,-7.07994517,8.4040379,-4.272588,1.6876345199999998,-3.4170542999999998,43.9128006483247,1,0,0,0,0,0.05303716390816325,0.029868420755102043
Fallin_AliciaKeys,5.291384451222222,1.1609419767000266,-0.039470000000000005,-850.1300000000001,-1393.04,-1.2200000000000024,-6.999999999999998e-5,-2929.1200000000003,-0.019249999999999996,-97.76648,39.57294999999999,33.3704885,-21.921176999999997,10.7097646,-11.389763,6.4132178,-17.122461,-0.03301979999999993,-10.1436869,-2.5829250000000012,2.274455999999999,-7.642845100000001,62.54624588920888,5,0,0,0,0,-0.0190989657755102,-0.09727893079591837
FlashdanceWhatAFeeling_IreneCara,6.0268697593636364,1.0296040647791345,0.009649999999999992,503.57000000000016,673.8800000000001,-0.34999999999999787,2.5e-4,1679.8000000000002,0.023149999999999997,42.21387999999999,-6.050229999999999,-3.5466569999999997,7.351512999999997,-5.520161,13.272946000000001,-12.731933600000001,0.9103220000000007,-3.1624996999999997,8.9542906,-10.8232842,-0.8062990609999999,0.6581422999999997,26.100007078152007,1,0,0,0,0,0.018370178782312924,0.026972473769132643
GetUrFreakOn_MissyElliot,3.465817469177778,1.356153782495938,0.0016499999999999987,307.80999999999995,-69.94000000000005,-0.1700000000000017,1.3000000000000002e-4,-289.3900000000003,-0.004210000000000005,-15.55743000000001,8.373050000000006,29.978469000000004,-12.340114999999997,-13.0645133,-6.478719999999999,-4.58382044,6.431316600000001,-9.9639463,2.50191636,-15.044811,6.2957407000000005,-7.277905199999999,42.66865332031027,-4,-1,0,0,0,0.03329385309523809,-0.0026198354068877466
