song_id,rms,spectral_bandwidth,spectral_centroid,spectral_contrast,spectral_flatness,spectral_rolloff,zero_crossing_rate,mfccs_offset,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,tempo,key,treble,tbb,genre,mean_valence,sd_valence,mean_arousal,sd_arousal
ComeAndGetYourLove_Redbone_Cover5S,0.08794,2390.14,2275.57,18.47,6e-5,4431.39,0.0514,-187.5016,182.77194,-72.01225,52.455357,7.5564947,15.8032,-2.3851929,8.788045,1.5341108,-0.54697406,6.309068,-3.6998603,4.0910983,102,Db,0,1,3,-0.00934120695918367,0.14300507856155528,0.1175602301632653,0.11094637390734818
ComeAndGetYourLove_Redbone_Original5S,0.05546,3278.94,2892.96,19.28,3.3e-4,6104.9,0.05698,-222.41612,150.6748,-49.99875,47.616093,-14.457794,26.638624,-5.262322,15.603543,-1.7604831,10.81515,4.3981147,11.187151,7.6986227,106,D,0,1,9,0.1758807767142857,0.1312323579895911,0.10184559034693877,0.14584816561738326
CrazyInLove_BeyonceFtJayZ_Cover5S,0.03131,2977.14,3096.34,19.45,0.0085,6318.82,0.08216,-281.35214,149.30591,-57.14577,40.951546,-26.907183,9.976588,-8.89477,-3.965832,0.11216348,-9.619929,9.721936,-9.539614,2.72866,59,F,1,0,5,0.020594589020408165,0.17772010096146876,-0.008500944918367353,0.16273744698831413
CrazyInLove_BeyonceFtJayZ_Original5S,0.05483,3578.69,3301.31,19.74,2.6e-4,7011.99,0.06601,-227.12216,132.18462,-48.436047,45.546467,-10.441502,35.792583,-11.684289,21.754963,1.1586204,5.742902,16.344011,7.6472588,13.584957,100,F,1,0,12,0.11503567246938776,0.1642819913878669,0.1914249643265306,0.11107110588955743
Despacito_LuisFonsiDaddyYankee_Cover5S,0.22519,2928.98,2107.19,21.1,0.02562,4570.94,0.03007,-171.49908,148.41368,-6.6569915,50.37777,-7.3764896,35.026527,-9.219335,4.199937,2.2516186,1.3491862,-11.442789,3.2073925,4.1527762,89,Db,0,1,2,0.08792650924489796,0.14443620667638218,-0.007552779551020407,0.16051056811003062
Despacito_LuisFonsiDaddyYankee_Original5S,0.23784,3816.48,3449.35,20.15,0.01531,7590.27,0.06474,-117.12822,117.711395,-16.47022,39.456905,-20.42295,28.619383,-13.855255,17.96554,-8.916632,8.2570305,-6.888589,3.7706196,-1.2767951,89,D,0,1,5,0.11603641781632654,0.14490585271896356,0.10351717934693878,0.15868574027841795
Dilemma_NellyKellyRowland_Cover5S,0.0952,2306.57,1445.51,19.92,5e-5,3021.05,0.02158,-273.3416,193.94608,-14.547513,32.349712,6.514207,26.709764,2.572544,13.546963,1.8443947,6.428652,2.4680707,5.288369,4.5838933,154,F#,0,1,12,0.05009088887755102,0.1629975583201746,-0.07403503657142857,0.13957693091801582
Dilemma_NellyKellyRowland_Original5S,0.06658,2930.13,2066.43,20.84,9e-5,4482.08,0.03122,-281.15994,151.8028,-10.912107,52.40293,9.941568,32.47676,1.703285,22.7713,15.963375,-1.5201485,1.930205,3.9557686,2.4979806,170,F,1,0,12,0.1546985045102041,0.1302503998083576,-0.07702133204081633,0.17530834107334847
Dreams_FleetwoodMac_Cover5S,0.06399,3354.59,2951.49,20.28,3.6e-4,6632.89,0.05854,-228.73685,147.71617,-34.40958,51.52094,-24.865057,21.42348,-11.102805,1.354472,2.5266042,5.2056136,-3.0708153,-1.7716624,5.026351,122,D,0,1,6,0.06010775671428571,0.13932344589519297,-0.05098210661224489,0.14935265086358207
Dreams_FleetwoodMac_Original5S,0.0599,2955.23,1905.05,19.89,8e-5,4152.96,0.02549,-296.404,158.77666,9.546919,58.307693,7.5041995,13.906514,-14.719965,15.339434,5.3672237,-2.7422428,5.7962008,7.0497894,2.9761856,120,C,1,0,9,0.07857433951020408,0.163861191850239,-0.09333655034693877,0.12958681466702462
EndlessLove_DianaRossLionelRichie_Cover5S,0.08467,3508.21,2796.69,21.81,1.7e-4,6270.79,0.05157,-202.73146,149.96254,-24.341955,64.61425,-18.759594,28.515718,-21.045506,10.765463,-10.937754,7.631035,-3.8593843,-1.9391464,-4.108112,89,Bb,1,1,5,0.03608882648979592,0.1579489415769148,-0.12734308985714285,0.12324013913725591
EndlessLove_DianaRossLionelRichie_Original5S,0.07177,2520.47,1700.91,21.67,4e-5,3205.05,0.03451,-249.91756,187.53749,-15.631937,35.221287,-5.2539964,13.685916,-8.520892,6.877043,-4.3069034,7.2600164,0.48796907,-4.9555273,-2.1253743,95,Bb,1,1,10,0.07599918487755102,0.15592387293297347,-0.16006063495918368,0.0931268746500639
EyeOfTheTiger_Survivor_Cover5S,0.08079,2937.55,2577.89,19.4,1e-4,5585.84,0.05191,-199.47478,176.4495,-51.75389,67.37845,-30.72663,28.92196,-1.343288,11.717229,-0.95383483,-1.0122939,8.823077,0.19522268,5.111299,110,Eb,0,1,2,0.10465679059183673,0.17786830369028073,0.14580679224489795,0.12853020198693949
EyeOfTheTiger_Survivor_Original5S,0.05684,3462.37,3141.34,19.02,2.7e-4,6719.83,0.06844,-220.09993,154.2511,-47.171642,41.64921,-16.243483,20.301977,-17.17278,19.742376,-8.03378,7.391744,4.550489,1.8828572,1.6942447,109,Eb,0,1,3,0.15769395449999998,0.16113212371936714,0.175675213,0.11031949579295616
Fallin_AliciaKeys_Cover5S,0.08436,3339.81,3183.46,21.17,1.5e-4,6471.34,0.05338,-211.51605,131.5504,-49.009106,49.01902,-12.391407,22.581823,-9.524153,27.399313,2.744709,-2.1255121,13.017312,8.645091,9.16998,69,e,1,0,11,0.07294093153061225,0.15777373856922208,-0.0059602604489795855,0.14464468251068213
Fallin_AliciaKeys_Original5S,0.04489,2489.68,1790.42,19.95,8e-5,3542.22,0.03413,-309.28253,171.12335,-15.6386175,27.097843,-1.6816424,11.19206,-3.1109352,10.276852,2.7116892,-12.269199,10.434387,10.919547,1.5271349,64,e,1,0,12,0.05384196575510205,0.1741659778877809,-0.10323919124489796,0.14734358962291944
FlashdanceWhatAFeeling_IreneCara_Cover5S,0.05569,3250.75,2623.64,20.86,2.5e-4,5454.58,0.04953,-249.83737,149.96414,-29.205235,38.66127,-11.045314,17.401094,-7.2093234,18.064232,-3.9420383,4.4402704,4.5250416,0.83615893,-4.5772676,123,Bb,1,0,13,0.08460396666666667,0.14396184667209713,0.09690356531250001,0.1511652460720623
FlashdanceWhatAFeeling_IreneCara_Original5S,0.06534,3754.32,3297.52,20.51,5e-4,7134.38,0.07268,-207.62349,143.91391,-32.751892,46.012783,-16.565475,30.67404,-19.941257,18.974554,-7.104538,13.394561,-6.2982426,0.029859869,-3.9191253,122,Bb,1,0,13,0.10297414544897959,0.15291229790694905,0.12387603908163265,0.13519199277060343
GetUrFreakOn_MissyElliot_Cover5S,0.05357,2758.4,2480.19,19.39,9e-5,5159.68,0.05206,-261.92725,153.56392,-47.29852,44.358677,-6.5318837,21.562845,5.1196814,1.460881,6.5569263,-1.5354221,9.797198,-1.4125857,8.699943,175,e,1,0,14,0.06546427757142857,0.138323062519474,0.11951902646938775,0.10834943965085927
GetUrFreakOn_MissyElliot_Original5S,0.05522,3066.21,2410.25,19.22,2.2e-4,4870.29,0.04785,-277.48468,161.93697,-17.320051,32.018562,-19.596397,15.084125,0.53586096,7.8921976,-3.40702,0.96649426,-5.247613,4.883155,1.4220378,179,f,1,0,14,0.09875813066666667,0.16007580797069387,0.1168991910625,0.15856820439596453
GimmeShelter_RollingStones_Cover5S,0.0488,2936.92,2293.75,20.33,3.7e-4,4531.2,0.04434,-298.19522,158.26866,-28.346127,33.598625,-0.9554202,27.890244,-1.6227127,8.452961,0.930208,9.35617,-3.3120065,1.4242908,-0.1459112,118,c#,0,1,15,0.022603023938775512,0.2191263016489048,0.002714457489795918,0.1591147116301091
