song_id,mean_sim,rms_difference,spectral_bandwidth_difference,spectral_centroid_difference,spectral_contrast_difference,spectral_flatness_difference,spectral_rolloff_difference,zero_crossing_rate_difference,mfccs_offset_difference,mfcc1_difference,mfcc2_difference,mfcc3_difference,mfcc4_difference,mfcc5_difference,mfcc6_difference,mfcc7_difference,mfcc8_difference,mfcc9_difference,mfcc10_difference,mfcc11_difference,mfcc12_difference,mfccs_dist,tempo_difference,key_difference,treble_difference,tbb_difference,voice_type_difference,mean_valence_difference,mean_arousal_difference
BadDay_DanielPowter,0.31208994121339045,-1.1179451037685528,-0.6245025023825526,-0.7058776325738272,0.40552362152287463,-0.5047127400601605,-0.76311677135295,0.2514078468990543,1.0276415152761311,0.0668981172468224,1.9791772159234364,0.15367584379531482,1.665941814223565,2.695822815876333,0.7446381306748955,-0.7554447169764594,-0.9541791276092094,-0.46383015753453394,3.358993001486266,0.5205462638510098,-0.9933764898575801,1.4366810186757146,0.6063740649457547,-0.7545220933919489,1.3745129007345531,1.4665092398786144,1.4675665537401146,-0.8592906570447563,-0.28348582502397174
BetteDavisEyes_KimCarnes,0.35145322163301596,-0.48339395692241505,-0.07235159419776545,-0.6951014056502007,0.5030722590026012,-0.5326194476464253,-0.5842312408391992,-0.8935685405180447,-0.1135704763202927,0.3300670405683065,0.15686490036563222,-0.4018049722762793,-1.4675218616604289,-0.5682135375995481,-1.027180937434559,-0.1416752894831336,-0.4879041403524232,-0.5154535346943072,0.17316068695657638,-0.615367208050867,-0.09029952944650416,-0.40429645894188465,-0.38403690779897803,-0.7545220933919489,-0.7171371656006363,-0.6721500682776982,-0.7181708667238859,-0.9915891941920555,-0.4970907263944448
BlindingLights_TheWeeknd,0.4158448259008395,1.6121700818373366,0.38450336995820944,0.617516507921939,-0.03344524713590811,-0.3707605436460895,0.4584106768965179,0.5201713882202439,0.47698359437483817,0.2508962629269975,-0.926031918140528,-1.1524391130798881,-1.152337973227888,0.4393407493941514,0.9530003650870805,-0.8775073609841098,0.8631107207799666,-0.5628410383741891,-0.2170413452510278,-0.27257927562297873,-0.9551778294569694,-0.6175298354958759,-0.5962678305299922,-0.7545220933919489,-0.7171371656006363,-0.6721500682776982,-0.7181708667238859,-0.8778363896556803,-0.08294988681843195
BlurredLines_RobinThicke,1.0025220273193194,-0.5417148400182501,-1.0146588104880194,-0.4507076001635327,0.4177172012078383,0.8375998948391755,-0.9450357947911313,0.20169751710184258,-0.20170685054602738,-0.8074626692720264,0.18253314670130952,1.0488322725417663,-0.8822105298282877,0.17702627173760438,0.2461231079465329,0.2570294646607314,-1.114461555528061,-1.1949764579328557,-0.2085982694719328,-0.7343632353921277,0.10818649214440758,-0.5364822049203133,-0.8084987532610064,-0.7545220933919489,1.3745129007345531,1.4665092398786144,1.4675665537401146,-0.8876407789820269,-0.4642383325097285
BohemianRhapsody_Queen,-1.1869419024505972,-0.24761807910762829,-0.8474125151442806,-0.25292403754965015,-0.7162857094940074,-0.518666093853293,-0.3672556467178441,-0.09110178807733949,-0.9136913140086103,0.05884957843826708,-0.10614354911356487,-0.04605928267666006,0.10511826981849604,0.11454918726660501,-1.1131523896593027,-1.0697464685493319,1.1266594197496498,-0.5539548606280825,-0.5700561016834839,-0.8806856828271646,-0.5247344766417047,-0.5015708573867017,3.0824014968075866,-0.13678470698918377,-0.7171371656006363,-0.6721500682776982,-0.7181708667238859,0.36702880557441975,-0.7797314890710715
BridgeOverTroubledWater_SimonAndGarfunkel,-0.1076665518900353,-0.6573596680373425,2.355568786122193,2.455950005376864,0.3811364621529386,-0.4544806664048839,3.2532990086135185,1.4892496855856703,0.014792007333294242,3.0043513871151513,0.5791329373503903,1.5511095021911643,0.438982866482395,1.0137039699914365,2.605280758572885,-1.0725357849356052,0.19713847911335053,0.8399275880778307,-0.013578543453285796,0.34173237955417063,2.358086703620395,2.361592225225509,-0.7377551123506684,1.7164274522191116,1.3745129007345531,1.4665092398786144,1.4675665537401146,-0.5645103488840573,-0.7580455630893486
ComeAndGetYourLove_Redbone,0.19556414093655744,0.4492417035246583,0.5910204392022637,-0.30841242192201507,-0.20415536272542967,-0.45727133716351037,-0.15421906579686898,-0.9727773077773383,-0.48148386416731304,0.3428711517717111,0.03630439799420054,-0.9455121496081913,1.0743672153669315,0.2636637734091427,-0.9286706781076627,-0.37560440604945217,-0.8076190467149585,0.23355555412402515,-0.9113040551422952,1.117611353215511,-0.5497815569197105,-0.10761671982907889,-0.5255241896196542,-0.13678470698918377,-0.7171371656006363,-0.6721500682776982,-0.7181708667238859,2.0857034287410925,-0.9431598152702284
CrazyInLove_BeyonceFtJayZ,-0.7805122339377959,0.0026134022095445713,-0.019728331932859295,-0.9397095111041006,-0.83822150634367,1.766893257461794,-0.7883031710282781,-0.39537270782510864,-0.07605624887175452,-0.4444677333029969,-0.6258478838977443,-0.9730177066458653,0.4243313650714179,2.4845575953157244,-0.9416218496874477,1.7089453314475478,-1.207281640262742,0.7617089537981327,0.07215164493900736,1.4507387481322351,0.863171004956755,-0.05378977495334052,2.091990524062854,-0.7545220933919489,-0.7171371656006363,-0.6721500682776982,-0.7181708667238859,0.48484574109108847,0.9822595551478699
Despacito_LuisFonsiDaddyYankee,0.8340817106057422,-0.5392224945868044,0.5882563890630964,0.8010032012933965,-0.03344524713590378,2.3445621044974745,0.7162575754730339,0.6163144436522143,-0.07309920604477392,0.26953818031827925,-0.5709244824527776,-0.26090967200140397,0.023759529713705492,-0.39283588162219557,-0.6686732266852304,0.39073317401218816,0.5921204199730906,-0.3544762696574905,-0.3595212315663105,-0.9571418073097369,-0.19462269385728354,-0.49422714952884556,-0.8084987532610064,-0.13678470698918377,-0.7171371656006363,-0.6721500682776982,-0.7181708667238859,-0.6848581390312475,0.05351633272931166
Dilemma_NellyKellyRowland,-0.963544413102994,0.25683263621703145,0.027069163115648665,-0.30300900131968556,-0.07002598619080776,-0.5214567646119194,-0.29165117167806287,-0.7509927594513162,-1.0502272252376277,0.87103594154354,-0.8784055282864834,0.7671142792870445,-1.1031464971002038,-0.4877388555012194,-1.2254888551787997,-0.10999923173653146,1.1166864474223932,-0.217054417922997,-1.1979387279275377,-0.845700608286455,-0.8463786869905593,-0.09934881664465618,0.32339950130440254,-0.13678470698918377,1.3745129007345531,1.4665092398786144,1.4675665537401146,0.6641254261650239,-1.076199454131468
