welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Hip hop,survey.question1.Alternative rock,survey.question1.R&B,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Disco,survey.question1.Classic rock,survey.question1.A cappella,survey.question1.Pop,survey.question1.Country,survey.question1.Ambient,survey.question1.Electronic (EDM),survey.question1.Metal,survey.question1.Classical,survey.question1.Reggae,survey.question1.Latin,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.5823,223.5507,0.0,1.0,1.0,1.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.5509,226.3649,1.038888889,2.805,0.0,2.0,2.0,4.0,1.0,song_indices/TheBattleOfNewOrleans_JohnnyHorton.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.3659,233.501,0.0,0.0,0.0,1.0,1.0,SoundStimuli/IWalkTheLine_JohnnyCash_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.5079,239.4766,0.0,1.0,1.0,0.0,1.0,SoundStimuli/IWalkTheLine_JohnnyCash_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.4767,283.1462,5.1,43.6551,0.0,3.0,3.0,17.0,1.0,song_indices/IWalkTheLine_JohnnyCash.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.1473,289.2014,0.0,0.0,0.0,0.0,1.0,SoundStimuli/GetUrFreakOn_MissyElliot_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.208,295.7771,0.0,1.0,1.0,1.0,1.0,SoundStimuli/GetUrFreakOn_MissyElliot_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.7774,492.1693,3.977777778,196.3792,0.0,4.0,4.0,18.0,1.0,song_indices/GetUrFreakOn_MissyElliot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.1703,498.9471,0.0,0.0,0.0,1.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.954,505.6967,0.0,1.0,1.0,0.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.6968,507.188,6.05,1.4827,0.0,5.0,5.0,2.0,1.0,song_indices/PartyRockAnthem_LMFAO.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.189,514.5377,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Happy_PharellWilliams_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.5454,521.8866,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Happy_PharellWilliams_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.8868,526.0482,6.972222222,4.1471,0.0,6.0,6.0,7.0,1.0,song_indices/Happy_PharellWilliams.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0496,532.1037,0.0,0.0,0.0,1.0,1.0,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.1108,538.426,0.0,1.0,1.0,0.0,1.0,SoundStimuli/RockWithYou_MichaelJackson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.4261,550.4438,6.933333333,12.0029,0.0,7.0,7.0,16.0,1.0,song_indices/RockWithYou_MichaelJackson.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.4451,556.6593,0.0,0.0,0.0,1.0,1.0,SoundStimuli/NoOne_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.6669,564.3823,0.0,1.0,1.0,0.0,1.0,SoundStimuli/NoOne_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.3825,566.9835,6.961111111,2.5863,0.0,8.0,8.0,19.0,1.0,song_indices/NoOne_AliciaKeys.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.9847,572.9054,0.0,0.0,0.0,0.0,1.0,SoundStimuli/StandByMe_BenEKing_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.9125,578.9212,0.0,1.0,1.0,1.0,1.0,SoundStimuli/StandByMe_BenEKing_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.9213,582.2822,6.955555556,3.3448,0.0,9.0,9.0,1.0,1.0,song_indices/StandByMe_BenEKing.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.2835,589.298,0.0,0.0,0.0,1.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.3055,596.5273,0.0,1.0,1.0,0.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.5275,598.0215,6.894444444,1.4773,0.0,10.0,10.0,15.0,1.0,song_indices/UptownFunk_MarkRonson.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.0228,604.1172,0.0,0.0,0.0,0.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.1242,610.3327,0.0,1.0,1.0,1.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.3329,615.9747,6.038888889,5.6316,0.0,11.0,11.0,20.0,1.0,song_indices/GimmeShelter_RollingStones.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.9759,622.0968,0.0,0.0,0.0,1.0,1.0,SoundStimuli/NoScrubs_TLC_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.1048,628.2859,0.0,1.0,1.0,0.0,1.0,SoundStimuli/NoScrubs_TLC_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,244222,1,2024-06-14_12h24.31.087,experiment,2024.1.5,Win32,75.75757576,666b5f73dbba3f0cd916b177,666c6e8b12f960dc41d0816b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.286,643.3979,6.911111111,15.0941,0.0,12.0,12.0,14.0,1.0,song_indices/NoScrubs_TLC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
