welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.R&B,survey.question1.Country,survey.question1.Hip hop,survey.question1.Classic rock,survey.question1.Reggae,survey.question1.Jazz,survey.question1.Ambient,survey.question1.Classical,survey.question1.A cappella,survey.question1.Pop,survey.question1.Metal,survey.question1.Alternative rock,survey.question1.Electronic (EDM),survey.question1.Folk/indie,survey.question1.Latin,survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.761,170.968,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Respect_ArethaFranklin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.97,177.741,1.0,6.739,0.0,2.0,2.0,0.0,1.0,song_indices/Respect_ArethaFranklin.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.746,184.824,0.0,0.0,0.0,1.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.829,192.393,0.0,1.0,1.0,0.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.394,194.261,6.981,1.851,0.0,3.0,3.0,7.0,1.0,song_indices/SomebodyThatIUsedtoKnow_Gotye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.267,200.386,0.0,0.0,0.0,0.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.387,206.091,0.0,1.0,1.0,1.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.093,208.325,6.967,2.202,0.0,4.0,4.0,17.0,1.0,song_indices/HowDoILive_LeAnnRimes.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.33,214.459,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Irreplaceable_Beyonce_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.461,220.58,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Irreplaceable_Beyonce_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.58,223.149,6.973,2.553,0.0,5.0,5.0,19.0,1.0,song_indices/Irreplaceable_Beyonce.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.162,230.21,0.0,0.0,0.0,1.0,1.0,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.216,237.436,0.0,1.0,1.0,0.0,1.0,SoundStimuli/PokerFace_LadyGaga_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.437,241.476,1.961,4.035,0.0,6.0,6.0,23.0,1.0,song_indices/PokerFace_LadyGaga.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.488,248.175,0.0,0.0,0.0,0.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.175,255.14,0.0,1.0,1.0,1.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.144,257.285,3.027,2.108,0.0,7.0,7.0,21.0,1.0,song_indices/BlindingLights_TheWeeknd.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.29,265.121,0.0,0.0,0.0,1.0,1.0,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
