welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.A cappella,survey.question1.Disco,survey.question1.Pop,survey.question1.Classic rock,survey.question1.R&B,survey.question1.Latin,survey.question1.Metal,survey.question1.Folk/indie,survey.question1.Country,survey.question1.Reggae,survey.question1.Ambient,survey.question1.Electronic (EDM),survey.question1.Jazz,survey.question1.Hip hop,survey.question1.Alternative rock,survey.question1.Classical,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.7574,210.4738,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.4741,212.3686,2.911111196,1.8746,0.0,2.0,2.0,10.0,1.0,song_indices/Levitating_DuaLipa.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.3714,218.5685,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.5869,225.583,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.5833,227.1454,1.955555598,1.5344,0.0,3.0,3.0,2.0,1.0,song_indices/Dilemma_NellyKellyRowland.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.1487,231.1339,0.0,0.0,0.0,1.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.1454,237.2343,0.0,1.0,1.0,0.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.2346,238.9959,1.444444444,1.734,0.0,4.0,4.0,16.0,1.0,song_indices/UnbreakMyHeart_ToniBraxton.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.9987,244.4815,0.0,0.0,0.0,1.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.4994,250.5316,0.0,1.0,1.0,0.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
