welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Pop,survey.question1.Jazz,survey.question1.Classical,survey.question1.Ambient,survey.question1.Disco,survey.question1.Latin,survey.question1.R&B,survey.question1.Alternative rock,survey.question1.Metal,survey.question1.Reggae,survey.question1.Country,survey.question1.Classic rock,survey.question1.A cappella,survey.question1.Folk/indie,survey.question1.Hip hop,survey.question1.Electronic (EDM),survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.5118,116.8174,0.0,1.0,1.0,0.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.8176,119.5679,2.985140381,2.7372,0.0,2.0,2.0,1.0,1.0,song_indices/BridgeOverTroubledWater_SimonAndGarfunkel.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.5689,125.6682,0.0,0.0,0.0,0.0,1.0,SoundStimuli/HeatWaves_GlassAnimals_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.678,134.2678,0.0,1.0,1.0,1.0,1.0,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.268,137.4341,1.996862996,3.1531,0.0,3.0,3.0,10.0,1.0,song_indices/HeatWaves_GlassAnimals.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.4349,143.4024,0.0,0.0,0.0,0.0,1.0,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.4107,147.4843,0.0,1.0,1.0,1.0,1.0,SoundStimuli/BohemianRhapsody_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.4844,149.3002,1.006062419,1.8028,0.0,4.0,4.0,18.0,1.0,song_indices/BohemianRhapsody_Queen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.3016,156.167,0.0,0.0,0.0,1.0,1.0,SoundStimuli/GodOnlyKnows_TheBeachBoys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.1774,162.4175,0.0,1.0,1.0,0.0,1.0,SoundStimuli/GodOnlyKnows_TheBeachBoys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
