welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.A cappella,survey.question1.Folk/indie,survey.question1.R&B,survey.question1.Country,survey.question1.Reggae,survey.question1.Pop,survey.question1.Alternative rock,survey.question1.Classic rock,survey.question1.Jazz,survey.question1.Ambient,survey.question1.Hip hop,survey.question1.Classical,survey.question1.Electronic (EDM),survey.question1.Latin,survey.question1.Metal,survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.738,101.218,0.0,1.0,1.0,1.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.218,103.028,5.955555556,1.802,0.0,2.0,2.0,17.0,1.0,song_indices/HowDoILive_LeAnnRimes.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.032,108.541,0.0,0.0,0.0,1.0,1.0,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.544,114.582,0.0,1.0,1.0,0.0,1.0,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.584,115.919,5.038888889,1.331,0.0,3.0,3.0,11.0,1.0,song_indices/LeFreak_Chic.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.927,122.371,0.0,0.0,0.0,1.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.373,128.463,0.0,1.0,1.0,0.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.467,129.856,6.988888889,1.381,0.0,4.0,4.0,4.0,1.0,song_indices/YouLightUpMyLife_DebbyBoone.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.86,136.603,0.0,0.0,0.0,0.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616905,1,2024-06-17_11h08.08.987,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704e028456b0e5b179856c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.609,143.709,0.0,1.0,1.0,1.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
