welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Country,survey.question1.A cappella,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Latin,survey.question1.Disco,survey.question1.Ambient,survey.question1.Reggae,survey.question1.Hip hop,survey.question1.Metal,survey.question1.Classic rock,survey.question1.Pop,survey.question1.Classical,survey.question1.Electronic (EDM),survey.question1.R&B,survey.question1.Alternative rock,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.8537,310.0331,0.0,1.0,1.0,0.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.0333,311.3454,3.993704092,1.2998,0.0,2.0,2.0,12.0,1.0,song_indices/SaveYourTears_TheWeekndArianaGrande.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.3462,318.3385,0.0,0.0,0.0,0.0,1.0,SoundStimuli/PokerFace_LadyGaga_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.3451,325.1649,0.0,1.0,1.0,1.0,1.0,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.165,326.0271,4.409233998,0.8551,0.0,3.0,3.0,23.0,1.0,song_indices/PokerFace_LadyGaga.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.0276,332.2074,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.2139,339.1865,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.1867,340.3745,4.415529906,1.1813,0.0,4.0,4.0,2.0,1.0,song_indices/Dilemma_NellyKellyRowland.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.375,346.2834,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Respect_ArethaFranklin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.2897,352.3259,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Respect_ArethaFranklin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
