welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Country,survey.question1.Electronic (EDM),survey.question1.Alternative rock,survey.question1.Classic rock,survey.question1.Ambient,survey.question1.Classical,survey.question1.Disco,survey.question1.Metal,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Pop,survey.question1.A cappella,survey.question1.Reggae,survey.question1.Hip hop,survey.question1.R&B,survey.question1.Latin,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.4907,182.9485,0.0,1.0,1.0,0.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9486,184.0113,6.019345703,1.0427,0.0,2.0,2.0,21.0,1.0,song_indices/ShapeofYou_EdSheeran.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0125,190.3142,0.0,0.0,0.0,0.0,1.0,SoundStimuli/HeyYa_Outkast_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.3253,199.2265,0.0,1.0,1.0,1.0,1.0,SoundStimuli/HeyYa_Outkast_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.2267,201.5707,3.954707031,2.332,0.0,3.0,3.0,22.0,1.0,song_indices/HeyYa_Outkast.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.572,208.9205,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Happy_PharellWilliams_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.9317,216.2698,0.0,1.0,1.0,0.0,1.0,SoundStimuli/Happy_PharellWilliams_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.2699,217.8658,6.024414063,1.583,0.0,4.0,4.0,7.0,1.0,song_indices/Happy_PharellWilliams.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.8669,223.7854,0.0,0.0,0.0,0.0,1.0,SoundStimuli/StandByMe_BenEKing_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.7965,229.8037,0.0,1.0,1.0,1.0,1.0,SoundStimuli/StandByMe_BenEKing_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.8038,231.0675,5.059404297,1.2432,0.0,5.0,5.0,1.0,1.0,song_indices/StandByMe_BenEKing.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.0687,236.9206,0.0,0.0,0.0,1.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.9316,243.3051,0.0,1.0,1.0,0.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.3051,246.1828,6.97515625,2.8643,0.0,6.0,6.0,10.0,1.0,song_indices/IWillAlwaysLoveYou_WhitneyHouston.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.1837,252.4004,0.0,0.0,0.0,0.0,1.0,SoundStimuli/BetteDavisEyes_KimCarnes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.4114,258.1045,0.0,1.0,1.0,1.0,1.0,SoundStimuli/BetteDavisEyes_KimCarnes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
