welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classic rock,survey.question1.Pop,survey.question1.Classical,survey.question1.Folk/indie,survey.question1.Reggae,survey.question1.A cappella,survey.question1.Alternative rock,survey.question1.R&B,survey.question1.Hip hop,survey.question1.Jazz,survey.question1.Country,survey.question1.Disco,survey.question1.Latin,survey.question1.Electronic (EDM),survey.question1.Metal,survey.question1.Ambient,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,335991,1,2024-06-17_10h52.47.712,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704aaaf5f945d019245d3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2865.5992,2872.1725,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,335991,1,2024-06-17_10h52.47.712,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704aaaf5f945d019245d3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872.1727,2872.9883,6.98483106,0.7974,0.0,2.0,2.0,11.0,1.0,song_indices/Despacito_LuisFonsiDaddyYankee.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,335991,1,2024-06-17_10h52.47.712,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704aaaf5f945d019245d3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872.9897,2879.4392,0.0,0.0,0.0,0.0,1.0,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,335991,1,2024-06-17_10h52.47.712,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704aaaf5f945d019245d3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2879.4474,2886.9392,0.0,1.0,1.0,1.0,1.0,SoundStimuli/BadDay_DanielPowter_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,335991,1,2024-06-17_10h52.47.712,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704aaaf5f945d019245d3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2886.9394,2888.8893,3.998661564,1.9309,0.0,3.0,3.0,22.0,1.0,song_indices/BadDay_DanielPowter.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,335991,1,2024-06-17_10h52.47.712,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704aaaf5f945d019245d3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2888.8905,2895.1886,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,335991,1,2024-06-17_10h52.47.712,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704aaaf5f945d019245d3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895.2006,2903.489,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Mood_24kGoldnianndior_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,335991,1,2024-06-17_10h52.47.712,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704aaaf5f945d019245d3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2903.4894,2910.2716,3.010985089,6.7638,0.0,4.0,4.0,5.0,1.0,song_indices/Mood_24kGoldnianndior.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,335991,1,2024-06-17_10h52.47.712,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704aaaf5f945d019245d3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2910.2729,2916.2227,0.0,0.0,0.0,1.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,335991,1,2024-06-17_10h52.47.712,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704aaaf5f945d019245d3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2916.2333,2922.3052,0.0,1.0,1.0,0.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
