welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Hip hop,survey.question1.Electronic (EDM),survey.question1.R&B,survey.question1.Latin,survey.question1.Country,survey.question1.Alternative rock,survey.question1.Reggae,survey.question1.Classic rock,survey.question1.Pop,survey.question1.Metal,survey.question1.Jazz,survey.question1.Disco,survey.question1.Ambient,survey.question1.Folk/indie,survey.question1.Classical,survey.question1.A cappella,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0449,100.0972,0.0,1.0,1.0,0.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0977,101.5691,3.95,1.4418,0.0,2.0,2.0,17.0,1.0,song_indices/AChangeIsGonnaCome_SamCooke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5722,108.2613,0.0,0.0,0.0,1.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.2766,114.5777,0.0,1.0,1.0,0.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.5781,115.5291,5.433333333,0.9339,0.0,3.0,3.0,1.0,1.0,song_indices/BridgeOverTroubledWater_SimonAndGarfunkel.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.5316,124.394,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.4112,132.6774,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.6777,133.711,6.722222222,1.0094,0.0,4.0,4.0,0.0,1.0,song_indices/Perfect_EdSheeran.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.7131,141.394,0.0,0.0,0.0,1.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665883,1,2024-06-17_14h00.59.631,experiment,2024.1.5,Win32,61.34969325,667045947eb812cbdacbf325,667079b096c0ca2a3b9b7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.4093,147.6441,0.0,1.0,1.0,0.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
