welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.listen_time,survey.medium,survey.music_making,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Reggae,survey.question1.R&B,survey.question1.Electronic (EDM),survey.question1.Country,survey.question1.Folk/indie,survey.question1.Latin,survey.question1.Hip hop,survey.question1.Disco,survey.question1.Alternative rock,survey.question1.Classic rock,survey.question1.Metal,survey.question1.Jazz,survey.question1.Ambient,survey.question1.Pop,survey.question1.A cappella,survey.genres_ranked.text3,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7067,254.9229,0.0,1.0,1.0,0.0,1.0,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.9231,257.0227,5.866667006,2.0928,0.0,2.0,2.0,3.0,1.0,song_indices/TikTok_Kesha.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0236,263.5057,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.5061,269.5889,0.0,1.0,1.0,0.0,1.0,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.589,271.339,5.072222392,1.7442,0.0,3.0,3.0,6.0,1.0,song_indices/Weak_SWV.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.34,276.8555,0.0,0.0,0.0,1.0,1.0,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.8558,282.8886,0.0,1.0,1.0,0.0,1.0,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.8887,284.1388,6.35000017,1.2494,0.0,4.0,4.0,11.0,1.0,song_indices/LeFreak_Chic.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.1394,291.2052,0.0,0.0,0.0,1.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.2057,297.3053,0.0,1.0,1.0,0.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
