welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Alternative rock,survey.question1.A cappella,survey.question1.Hip hop,survey.question1.R&B,survey.question1.Country,survey.question1.Latin,survey.question1.Pop,survey.question1.Classic rock,survey.question1.Metal,survey.question1.Folk/indie,survey.question1.Reggae,survey.question1.Jazz,survey.question1.Ambient,survey.question1.Disco,survey.question1.Electronic (EDM),survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0468,159.7221,0.0,1.0,1.0,1.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.7222,161.7443,2.133333333,1.9978,0.0,2.0,2.0,16.0,1.0,song_indices/LivinOnAPrayer_BonJovi.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.747,170.6053,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.6243,178.8801,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.8802,180.3454,5.408333333,1.4357,0.0,3.0,3.0,0.0,1.0,song_indices/Perfect_EdSheeran.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.3469,186.1628,0.0,0.0,0.0,1.0,1.0,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.1847,192.1964,0.0,1.0,1.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.1967,194.0074,4.013888889,1.7951,0.0,4.0,4.0,2.0,1.0,song_indices/StayinAlive_BeeGees.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0089,200.1566,0.0,0.0,0.0,0.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,652943,1,2024-06-17_10h52.46.634,experiment,2024.1.5,Win32,60.24096386,667045947eb812cbdacbf325,66704d8d306633c4322456e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.1769,206.4311,0.0,1.0,1.0,1.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
