welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Metal,survey.question1.A cappella,survey.question1.Electronic (EDM),survey.question1.Classical,survey.question1.Reggae,survey.question1.Hip hop,survey.question1.Folk/indie,survey.question1.Pop,survey.question1.Country,survey.question1.Disco,survey.question1.Jazz,survey.question1.Alternative rock,survey.question1.Latin,survey.question1.R&B,survey.question1.Classic rock,survey.question1.Ambient,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.3044,288.777,0.0,1.0,1.0,0.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.7771,290.8603,6.553828125,2.0763,0.0,2.0,2.0,21.0,1.0,song_indices/BlindingLights_TheWeeknd.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.8611,296.9607,0.0,0.0,0.0,0.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.972,304.0277,0.0,1.0,1.0,1.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.028,306.1606,4.949765625,2.1215,0.0,3.0,3.0,22.0,1.0,song_indices/ComeAndGetYourLove_Redbone.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.1613,312.2612,0.0,0.0,0.0,0.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.2737,316.2445,0.0,1.0,1.0,1.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.2446,325.9044,4.042369792,9.6378,0.0,4.0,4.0,16.0,1.0,song_indices/UnbreakMyHeart_ToniBraxton.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.905,331.2115,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Superstition_StevieWonder_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.2225,337.3622,0.0,1.0,1.0,0.0,1.0,SoundStimuli/Superstition_StevieWonder_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.3623,339.1946,3.508671875,1.8218,0.0,5.0,5.0,15.0,1.0,song_indices/Superstition_StevieWonder.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
