welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Metal,survey.question1.Classical,survey.question1.Jazz,survey.question1.A cappella,survey.question1.Hip hop,survey.question1.Disco,survey.question1.Folk/indie,survey.question1.Reggae,survey.question1.Latin,survey.question1.Alternative rock,survey.question1.R&B,survey.question1.Ambient,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Country,survey.question1.Pop,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.7686,313.8253,0,1,1,1,1,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.8257,315.3246,4.007999321,1.4882,0,2,2,22,1,song_indices/ComeAndGetYourLove_Redbone.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.326,322.4243,0,0,0,1,1,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.4362,329.1919,0,1,1,0,1,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.1921,330.9907,5.985895041,1.7765,0,3,3,9,1,song_indices/BlurredLines_RobinThicke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.9921,337.0251,0,0,0,0,1,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.0352,342.5085,0,1,1,1,1,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.5088,343.258,6.027190897,0.7388,0,4,4,17,1,song_indices/HowDoILive_LeAnnRimes.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.2592,349.7415,0,0,0,1,1,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.7513,355.8248,0,1,1,0,1,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
