welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.3273,567.979,3.920682907,2.6081,0,2,2,1,1,song_indices/BridgeOverTroubledWater_SimonAndGarfunkel.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.9827,575.0083,0,0,0,1,1,SoundStimuli/StrawberryFieldsForever_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.0295,581.1571,0,1,1,0,1,SoundStimuli/StrawberryFieldsForever_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.1575,583.1733,2.165173531,1.9901,0,3,3,14,1,song_indices/StrawberryFieldsForever_TheBeatles.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.1782,590.8549,0,0,0,1,1,SoundStimuli/LivinOnAPrayer_BonJovi_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.8775,597.1203,0,1,1,0,1,SoundStimuli/LivinOnAPrayer_BonJovi_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.1208,600.1397,1.246066093,2.9746,0,4,4,16,1,song_indices/LivinOnAPrayer_BonJovi.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.1431,606.1022,0,0,0,0,1,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.1246,610.2016,0,1,1,1,1,SoundStimuli/BohemianRhapsody_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.2021,612.4172,2.027834415,2.188,0,5,5,18,1,song_indices/BohemianRhapsody_Queen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.4217,617.1331,0,0,0,1,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.1542,623.1985,0,1,1,0,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
