welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Electronic (EDM),survey.question1.Classical,survey.question1.Ambient,survey.question1.Alternative rock,survey.question1.Country,survey.question1.Reggae,survey.question1.A cappella,survey.question1.Latin,survey.question1.Hip hop,survey.question1.Disco,survey.question1.Classic rock,survey.question1.Folk/indie,survey.question1.Jazz,survey.question1.Pop,survey.question1.R&B,survey.question1.Metal,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.7929,117.0811,0,1,1,1,1,SoundStimuli/Superstition_StevieWonder_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0814,118.6477,4.048168321,1.5451,0,2,2,15,1,song_indices/Superstition_StevieWonder.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.6496,124.8495,0,0,0,0,1,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.8604,131.8488,0,1,1,1,1,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.8492,134.032,3.054361541,2.1731,0,3,3,2,1,song_indices/Dilemma_NellyKellyRowland.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0332,140.5151,0,0,0,1,1,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.5219,146.5986,0,1,1,0,1,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.5991,148.3478,2.978749579,1.7277,0,4,4,6,1,song_indices/Weak_SWV.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.3494,154.6524,0,0,0,0,1,SoundStimuli/LetsGetItOn_MarvinGaye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.659,161.2976,0,1,1,1,1,SoundStimuli/LetsGetItOn_MarvinGaye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
