welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.A cappella,survey.question1.Reggae,survey.question1.Ambient,survey.question1.Hip hop,survey.question1.Pop,survey.question1.Alternative rock,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Disco,survey.question1.Classical,survey.question1.Latin,survey.question1.R&B,survey.question1.Country,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Metal,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.87,129.0098,0,1,1,0,1,SoundStimuli/Superstition_StevieWonder_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.01,130.4755,6.996356201,1.453,0,2,2,15,1,song_indices/Superstition_StevieWonder.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.476,136.5757,0,0,0,0,1,SoundStimuli/ComeAndGetYourLove_Redbone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.5862,143.6429,0,1,1,1,1,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.643,144.7751,6.517604719,1.1223,0,3,3,22,1,song_indices/ComeAndGetYourLove_Redbone.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.7759,151.5253,0,0,0,0,1,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.5355,158.6252,0,1,1,1,1,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.6254,160.1755,6.527790615,1.5378,0,4,4,9,1,song_indices/BlurredLines_RobinThicke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.1764,167.0255,0,0,0,1,1,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,399922,001,2024-06-14_12h30.14.629,experiment,2024.1.5,MacIntel,60.24096386,62fd19522ad91588ac9881e7,666b5f73dbba3f0cd916b177,666c6fe063916772c9816e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.0352,174.0423,0,1,1,0,1,SoundStimuli/PokerFace_LadyGaga_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
