welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Ambient,survey.question1.A cappella,survey.question1.R&B,survey.question1.Metal,survey.question1.Latin,survey.question1.Reggae,survey.question1.Pop,survey.question1.Disco,survey.question1.Country,survey.question1.Folk/indie,survey.question1.Classical,survey.question1.Jazz,survey.question1.Hip hop,survey.question1.Classic rock,survey.question1.Alternative rock,survey.question1.Electronic (EDM),survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.1093,199.5332,0,1,1,1,1,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.5333,201.4276,6.011110942,1.885,0,2,2,12,1,song_indices/Fallin_AliciaKeys.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.4283,208.1765,0,0,0,0,1,SoundStimuli/PartyRockAnthem_LMFAO_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.1848,214.958,0,1,1,1,1,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.9581,216.2876,6.027777778,1.3121,0,3,3,2,1,song_indices/PartyRockAnthem_LMFAO.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.2884,222.7533,0,0,0,0,1,SoundStimuli/ShapeofYou_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.7617,229.053,0,1,1,1,1,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.0531,232.0281,3.983333588,2.9655,0,4,4,21,1,song_indices/ShapeofYou_EdSheeran.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0289,238.2443,0,0,0,0,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.2524,244.1951,0,1,1,1,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
