welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.question1.Jazz,survey.question1.Pop,survey.question1.Hip hop,survey.question1.Folk/indie,survey.question1.A cappella,survey.question1.Country,survey.question1.Alternative rock,survey.question1.R&B,survey.question1.Ambient,survey.question1.Metal,survey.question1.Disco,survey.question1.Classical,survey.question1.Electronic (EDM),survey.question1.Reggae,survey.question1.Classic rock,survey.question1.Latin,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0131,2.3541,space,2.3045,,910590,001,2024-06-17_10h47.05.026,experiment,2024.1.5,Win32,60.24096386,59cadb5f59b379000115128d,667045947eb812cbdacbf325,66704bff311674800ba0a876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,910590,001,2024-06-17_10h47.05.026,experiment,2024.1.5,Win32,60.24096386,59cadb5f59b379000115128d,667045947eb812cbdacbf325,66704bff311674800ba0a876,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,910590,001,2024-06-17_10h47.05.026,experiment,2024.1.5,Win32,60.24096386,59cadb5f59b379000115128d,667045947eb812cbdacbf325,66704bff311674800ba0a876,,,28.6912,28.6918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,910590,001,2024-06-17_10h47.05.026,experiment,2024.1.5,Win32,60.24096386,59cadb5f59b379000115128d,667045947eb812cbdacbf325,66704bff311674800ba0a876,,,,,28.6994,34.6583,space,5.9237,,34.6586,81.0539,"[-0.017752673322380185,-0.015151562779417024]","[-0.42339703692216557,-0.41689421690584766]","[1,1]","[0,0]","[0,0]","[24.58699999999999,42.56040000000597]","[""play_button"",""play_button""]",right,36.3369,,81.0546,93.6574,space,12.5503,,93.6582,117.4062,4.953374906,23.7241,117.4067,121.0594,space,3.6238,,121.1355,127.3068,0,0,0,0,1,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,910590,001,2024-06-17_10h47.05.026,experiment,2024.1.5,Win32,60.24096386,59cadb5f59b379000115128d,667045947eb812cbdacbf325,66704bff311674800ba0a876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.3238,133.6249,0,1,1,1,1,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,910590,001,2024-06-17_10h47.05.026,experiment,2024.1.5,Win32,60.24096386,59cadb5f59b379000115128d,667045947eb812cbdacbf325,66704bff311674800ba0a876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.6433,135.3707,2.956149628,1.7212,0,0,0,21,1,song_indices/MackTheKnife_BobbyDarin.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,910590,001,2024-06-17_10h47.05.026,experiment,2024.1.5,Win32,60.24096386,59cadb5f59b379000115128d,667045947eb812cbdacbf325,66704bff311674800ba0a876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.3748,142.2309,0,0,0,1,1,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,910590,001,2024-06-17_10h47.05.026,experiment,2024.1.5,Win32,60.24096386,59cadb5f59b379000115128d,667045947eb812cbdacbf325,66704bff311674800ba0a876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.2469,147.8767,0,1,1,0,1,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,910590,001,2024-06-17_10h47.05.026,experiment,2024.1.5,Win32,60.24096386,59cadb5f59b379000115128d,667045947eb812cbdacbf325,66704bff311674800ba0a876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.877,149.3262,1.918528669,1.4273,0,1,1,13,1,song_indices/IWannaDanceWithSomebody_WhitneyHouston.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,910590,001,2024-06-17_10h47.05.026,experiment,2024.1.5,Win32,60.24096386,59cadb5f59b379000115128d,667045947eb812cbdacbf325,66704bff311674800ba0a876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.3282,155.4545,0,0,0,0,1,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
