welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classic rock,survey.question1.Latin,survey.question1.Metal,survey.question1.Ambient,survey.question1.Folk/indie,survey.question1.Disco,survey.question1.Pop,survey.question1.Classical,survey.question1.Jazz,survey.question1.R&B,survey.question1.Country,survey.question1.Alternative rock,survey.question1.Electronic (EDM),survey.question1.A cappella,survey.question1.Hip hop,survey.question1.Reggae,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.6684,190.1597,0,1,1,1,1,SoundStimuli/Stronger_KanyeWest_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.1597,196.6903,4.988888889,6.5187,0,2,2,9,1,song_indices/Stronger_KanyeWest.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.6907,203.243,0,0,0,1,1,SoundStimuli/GoodGollyMissMolly_LittleRichard_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.2489,209.4863,0,1,1,0,1,SoundStimuli/GoodGollyMissMolly_LittleRichard_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.4864,211.9098,4.483333333,2.4171,0,3,3,0,1,song_indices/GoodGollyMissMolly_LittleRichard.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.9104,218.3661,0,0,0,0,1,SoundStimuli/RockWithYou_MichaelJackson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.3739,224.6181,0,1,1,1,1,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.6183,229.3678,6.005555556,4.7429,0,4,4,16,1,song_indices/RockWithYou_MichaelJackson.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.3683,235.7794,0,0,0,0,1,SoundStimuli/Fallin_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.7853,242.4062,0,1,1,1,1,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
