welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Reggae,survey.question1.A cappella,survey.question1.Pop,survey.question1.Folk/indie,survey.question1.Country,survey.question1.Hip hop,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Disco,survey.question1.Ambient,survey.question1.Metal,survey.question1.Classical,survey.question1.Latin,survey.question1.R&B,survey.question1.Jazz,survey.question1.Alternative rock,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.0515,313.7707,0,1,1,1,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.7708,315.3182,2.944444444,1.5371,0,2,2,17,1,song_indices/AChangeIsGonnaCome_SamCooke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.3198,323.0013,0,0,0,1,1,SoundStimuli/LivinOnAPrayer_BonJovi_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0022,329.2519,0,1,1,0,1,SoundStimuli/LivinOnAPrayer_BonJovi_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.2521,331.9019,3.938888974,2.6364,0,3,3,16,1,song_indices/LivinOnAPrayer_BonJovi.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.9036,340.7682,0,0,0,0,1,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.7686,349.0349,0,1,1,1,1,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.0351,350.5039,5.955555386,1.4679,0,4,4,0,1,song_indices/Perfect_EdSheeran.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.5046,356.8185,0,0,0,0,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.819,363.5184,0,1,1,1,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
