welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Hip hop,survey.question1.A cappella,survey.question1.Alternative rock,survey.question1.Ambient,survey.question1.Electronic (EDM),survey.question1.Metal,survey.question1.Pop,survey.question1.Country,survey.question1.Reggae,survey.question1.Classic rock,survey.question1.Classical,survey.question1.R&B,survey.question1.Disco,survey.question1.Latin,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.6381,159.1486,0,1,1,1,1,SoundStimuli/OldTownRoad_LilNasX_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.1492,160.3666,4.981581798,1.2069,0,2,2,20,1,song_indices/OldTownRoad_LilNasX.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.37,166.3382,0,0,0,0,1,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.3481,170.4074,0,1,1,1,1,SoundStimuli/BohemianRhapsody_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.4078,171.7417,3.928494041,1.3225,0,3,3,18,1,song_indices/BohemianRhapsody_Queen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.7469,180.032,0,0,0,1,1,SoundStimuli/Mood_24kGoldnianndior_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0447,186.3368,0,1,1,0,1,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.3373,187.4379,2.914409534,1.0896,0,4,4,5,1,song_indices/Mood_24kGoldnianndior.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.4418,192.1577,0,0,0,1,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.1672,198.1965,0,1,1,0,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1984,199.3459,1.952329361,1.1309,0,5,5,17,1,song_indices/AChangeIsGonnaCome_SamCooke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.3503,207.9528,0,0,0,1,1,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.9639,214.0575,0,1,1,0,1,SoundStimuli/HeatWaves_GlassAnimals_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.058,218.094,1.048754063,4.0167,0,6,6,10,1,song_indices/HeatWaves_GlassAnimals.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0977,224.1321,0,0,0,1,1,SoundStimuli/IWantToHoldYourHand_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.1426,229.9194,0,1,1,0,1,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
