welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Reggae,survey.question1.Alternative rock,survey.question1.Disco,survey.question1.Metal,survey.question1.Latin,survey.question1.Pop,survey.question1.A cappella,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Hip hop,survey.question1.Country,survey.question1.Electronic (EDM),survey.question1.Classic rock,survey.question1.R&B,survey.question1.Ambient,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.3632,128.4042,0,1,1,0,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.4052,130.2671,4.55,1.7742,0,2,2,17,1,song_indices/AChangeIsGonnaCome_SamCooke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.2711,136.8257,0,0,0,0,1,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.8996,143.4899,0,1,1,1,1,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.4905,144.9704,5.326666768,1.4137,0,3,3,11,1,song_indices/Despacito_LuisFonsiDaddyYankee.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.9732,151.1313,0,0,0,0,1,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.2043,157.4629,0,1,1,1,1,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.4639,159.2081,1.013333384,1.6648,0,4,4,21,1,song_indices/MackTheKnife_BobbyDarin.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.2136,165.4028,0,0,0,0,1,SoundStimuli/LikeAPrayer_Madonna_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.4809,171.6862,0,1,1,1,1,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.6871,172.5446,6.520000203,0.7782,0,5,5,7,1,song_indices/LikeAPrayer_Madonna.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.5485,178.6893,0,0,0,1,1,SoundStimuli/Smooth_SantanaRobThomas_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.7649,184.9733,0,1,1,0,1,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.9739,185.9159,6.030000305,0.8233,0,6,6,4,1,song_indices/Smooth_SantanaRobThomas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.9206,189.9948,0,0,0,1,1,SoundStimuli/BohemianRhapsody_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
