welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Pop,survey.question1.Hip hop,survey.question1.Reggae,survey.question1.Ambient,survey.question1.R&B,survey.question1.Latin,survey.question1.Classic rock,survey.question1.Alternative rock,survey.question1.Electronic (EDM),survey.question1.A cappella,survey.question1.Country,survey.question1.Folk/indie,survey.question1.Classical,survey.question1.Metal,survey.question1.Jazz,survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.8255,187.8417,0,1,1,1,1,SoundStimuli/UnbreakMyHeart_ToniBraxton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.8419,190.2882,2.544444444,2.4356,0,2,2,16,1,song_indices/UnbreakMyHeart_ToniBraxton.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.29,196.7984,0,0,0,1,1,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.8093,202.892,0,1,1,0,1,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.8924,205.015,2.766666667,2.1121,0,3,3,6,1,song_indices/Weak_SWV.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0167,212.1711,0,0,0,1,1,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.1812,218.9808,0,1,1,0,1,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.981,220.9026,3.905555556,1.9101,0,4,4,9,1,song_indices/BlurredLines_RobinThicke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.9047,228.3577,0,0,0,0,1,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.3683,234.7077,0,1,1,1,1,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.7079,236.1448,1.316666667,1.4262,0,5,5,14,1,song_indices/Kiss_Prince.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.1468,242.9587,0,0,0,1,1,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.9684,249.4687,0,1,1,0,1,SoundStimuli/BlindingLights_TheWeeknd_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.4688,251.1294,4.672222222,1.6481,0,6,6,21,1,song_indices/BlindingLights_TheWeeknd.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
