welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Folk/indie,survey.question1.R&B,survey.question1.Classical,survey.question1.Latin,survey.question1.Pop,survey.question1.A cappella,survey.question1.Metal,survey.question1.Classic rock,survey.question1.Alternative rock,survey.question1.Reggae,survey.question1.Country,survey.question1.Jazz,survey.question1.Ambient,survey.question1.Hip hop,survey.question1.Disco,survey.question1.Electronic (EDM),survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,418264,001,2024-06-14_11h20.10.541,experiment,2024.1.5,MacIntel,59.88023952,664614c87025e6f51aae8ea4,666b5f73dbba3f0cd916b177,666c6d8d33aa95ee79c11bc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.7895,138.6957,0,1,1,1,1,SoundStimuli/HeyYa_Outkast_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,418264,001,2024-06-14_11h20.10.541,experiment,2024.1.5,MacIntel,59.88023952,664614c87025e6f51aae8ea4,666b5f73dbba3f0cd916b177,666c6d8d33aa95ee79c11bc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.696,140.5788,2.042473958,1.8689,0,2,2,22,1,song_indices/HeyYa_Outkast.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,418264,001,2024-06-14_11h20.10.541,experiment,2024.1.5,MacIntel,59.88023952,664614c87025e6f51aae8ea4,666b5f73dbba3f0cd916b177,666c6d8d33aa95ee79c11bc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.58,146.7961,0,0,0,0,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,418264,001,2024-06-14_11h20.10.541,experiment,2024.1.5,MacIntel,59.88023952,664614c87025e6f51aae8ea4,666b5f73dbba3f0cd916b177,666c6d8d33aa95ee79c11bc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.8082,152.7464,0,1,1,1,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,418264,001,2024-06-14_11h20.10.541,experiment,2024.1.5,MacIntel,59.88023952,664614c87025e6f51aae8ea4,666b5f73dbba3f0cd916b177,666c6d8d33aa95ee79c11bc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.7467,153.8291,6.869166667,1.0594,0,3,3,6,1,song_indices/TheBoyIsMine_BrandyMonica.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,418264,001,2024-06-14_11h20.10.541,experiment,2024.1.5,MacIntel,59.88023952,664614c87025e6f51aae8ea4,666b5f73dbba3f0cd916b177,666c6d8d33aa95ee79c11bc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.8298,159.8129,0,0,0,0,1,SoundStimuli/IWalkTheLine_JohnnyCash_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,418264,001,2024-06-14_11h20.10.541,experiment,2024.1.5,MacIntel,59.88023952,664614c87025e6f51aae8ea4,666b5f73dbba3f0cd916b177,666c6d8d33aa95ee79c11bc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.8217,166.9633,0,1,1,1,1,SoundStimuli/IWalkTheLine_JohnnyCash_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,418264,001,2024-06-14_11h20.10.541,experiment,2024.1.5,MacIntel,59.88023952,664614c87025e6f51aae8ea4,666b5f73dbba3f0cd916b177,666c6d8d33aa95ee79c11bc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.9634,167.5797,4.55296875,0.6081,0,4,4,17,1,song_indices/IWalkTheLine_JohnnyCash.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,418264,001,2024-06-14_11h20.10.541,experiment,2024.1.5,MacIntel,59.88023952,664614c87025e6f51aae8ea4,666b5f73dbba3f0cd916b177,666c6d8d33aa95ee79c11bc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.58,173.7968,0,0,0,0,1,SoundStimuli/BetteDavisEyes_KimCarnes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,418264,001,2024-06-14_11h20.10.541,experiment,2024.1.5,MacIntel,59.88023952,664614c87025e6f51aae8ea4,666b5f73dbba3f0cd916b177,666c6d8d33aa95ee79c11bc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.8046,179.4971,0,1,1,1,1,SoundStimuli/BetteDavisEyes_KimCarnes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
