welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.R&B,survey.question1.Disco,survey.question1.Reggae,survey.question1.Classical,survey.question1.Pop,survey.question1.Alternative rock,survey.question1.Latin,survey.question1.Electronic (EDM),survey.question1.Ambient,survey.question1.Jazz,survey.question1.Metal,survey.question1.Hip hop,survey.question1.Country,survey.question1.A cappella,survey.question1.Folk/indie,survey.question1.Classic rock,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3122,101.3709,0,1,1,1,1,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.371,103.0373,5.844444275,1.6493,0,2,2,16,1,song_indices/RockWithYou_MichaelJackson.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0397,109.3033,0,0,0,0,1,SoundStimuli/ItsAllInTheGame_TommyEdwards_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.311,115.5523,0,1,1,1,1,SoundStimuli/ItsAllInTheGame_TommyEdwards_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.5524,118.7687,1.094444487,3.2017,0,3,3,13,1,song_indices/ItsAllInTheGame_TommyEdwards.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.7699,125.9176,0,0,0,1,1,SoundStimuli/IWalkTheLine_JohnnyCash_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.9249,131.9003,0,1,1,0,1,SoundStimuli/IWalkTheLine_JohnnyCash_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.9004,133.9332,2.711111281,2.0239,0,4,4,17,1,song_indices/IWalkTheLine_JohnnyCash.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.9343,140.1493,0,0,0,0,1,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.1566,145.9316,0,1,1,1,1,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
