welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.A cappella,survey.question1.Disco,survey.question1.Reggae,survey.question1.R&B,survey.question1.Ambient,survey.question1.Metal,survey.question1.Pop,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Hip hop,survey.question1.Alternative rock,survey.question1.Country,survey.question1.Latin,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7119,93.8402,0,1,1,1,1,SoundStimuli/JoyToTheWorld_ThreeDogNight_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.8404,95.7916,3.177777778,1.9452,0,2,2,8,1,song_indices/JoyToTheWorld_ThreeDogNight.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.7922,101.7909,0,0,0,0,1,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7969,107.5068,0,1,1,1,1,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.507,108.6346,1.938888889,1.1156,0,3,3,10,1,song_indices/Levitating_DuaLipa.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.6368,113.9408,0,0,0,1,1,SoundStimuli/Superstition_StevieWonder_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.9464,120.0679,0,1,1,0,1,SoundStimuli/Superstition_StevieWonder_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0682,123.0679,1.022222222,2.9924,0,4,4,15,1,song_indices/Superstition_StevieWonder.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0701,129.1898,0,0,0,1,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.1952,135.2512,0,1,1,0,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
