welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Disco,survey.question1.Reggae,survey.question1.Folk/indie,survey.question1.Alternative rock,survey.question1.Classical,survey.question1.Jazz,survey.question1.Electronic (EDM),survey.question1.Ambient,survey.question1.Latin,survey.question1.Country,survey.question1.Hip hop,survey.question1.Metal,survey.question1.A cappella,survey.question1.Pop,survey.question1.R&B,survey.question1.Classic rock,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.8017,309.1271,0,1,1,0,1,SoundStimuli/RockWithYou_MichaelJackson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.1274,311.4762,5.983333333,2.3199,0,2,2,16,1,song_indices/RockWithYou_MichaelJackson.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.4799,317.4241,0,0,0,1,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.4449,323.6563,0,1,1,0,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.6565,325.6718,6.566666667,1.9889,0,3,3,6,1,song_indices/TheBoyIsMine_BrandyMonica.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.6741,332.036,0,0,0,1,1,SoundStimuli/GoodGollyMissMolly_LittleRichard_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0564,338.1173,0,1,1,0,1,SoundStimuli/GoodGollyMissMolly_LittleRichard_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.1176,340.4834,5.011111111,2.3428,0,4,4,0,1,song_indices/GoodGollyMissMolly_LittleRichard.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.4856,346.7145,0,0,0,1,1,SoundStimuli/NoOne_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.7361,354.4615,0,1,1,0,1,SoundStimuli/NoOne_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
