welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Reggae,survey.question1.Electronic (EDM),survey.question1.Classic rock,survey.question1.Ambient,survey.question1.Jazz,survey.question1.Country,survey.question1.Disco,survey.question1.Alternative rock,survey.question1.Latin,survey.question1.Hip hop,survey.question1.Pop,survey.question1.Classical,survey.question1.Folk/indie,survey.question1.R&B,survey.question1.A cappella,survey.question1.Metal,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0502,151.1902,0,1,1,0,1,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.1904,152.4893,1.053968254,1.2772,0,2,2,21,1,song_indices/MackTheKnife_BobbyDarin.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.4904,158.69,0,0,0,0,1,SoundStimuli/LikeAPrayer_Madonna_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.6994,164.9063,0,1,1,1,1,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.9066,166.2059,6.012698413,1.2792,0,3,3,7,1,song_indices/LikeAPrayer_Madonna.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.207,175.0564,0,0,0,0,1,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0661,183.3235,0,1,1,1,1,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.3237,184.2728,4.984126984,0.934,0,4,4,0,1,song_indices/Perfect_EdSheeran.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.2741,191.7732,0,0,0,1,1,SoundStimuli/BadDay_DanielPowter_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.7829,198.2232,0,1,1,0,1,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.2235,199.1229,5.993650794,0.8797,0,5,5,22,1,song_indices/BadDay_DanielPowter.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.124,205.2234,0,0,0,0,1,SoundStimuli/HeatWaves_GlassAnimals_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.2324,213.8233,0,1,1,1,1,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.8237,214.8727,5.00952381,1.0324,0,6,6,10,1,song_indices/HeatWaves_GlassAnimals.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.8743,220.9065,0,0,0,1,1,SoundStimuli/IWantToHoldYourHand_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.916,226.7067,0,1,1,0,1,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.7068,229.9727,6,3.2524,0,7,7,19,1,song_indices/IWantToHoldYourHand_TheBeatles.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.9733,235.9901,0,0,0,0,1,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.9996,241.8232,0,1,1,1,1,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.8235,242.7729,5.022222222,0.9292,0,8,8,2,1,song_indices/StayinAlive_BeeGees.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.7741,250.1567,0,0,0,0,1,SoundStimuli/OldTownRoad_LilNasX_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.1666,256.673,0,1,1,1,1,SoundStimuli/OldTownRoad_LilNasX_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.6732,257.5227,5.968253968,0.838,0,9,9,20,1,song_indices/OldTownRoad_LilNasX.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
