welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Jazz,survey.question1.Hip hop,survey.question1.Classical,survey.question1.Folk/indie,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Country,survey.question1.Pop,survey.question1.Latin,survey.question1.A cappella,survey.question1.Alternative rock,survey.question1.Metal,survey.question1.Disco,survey.question1.R&B,survey.question1.Ambient,survey.question1.Reggae,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.5902,138.8678,0,1,1,1,1,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.8681,140.8349,6.983333333,1.9536,0,2,2,18,1,song_indices/FlashdanceWhatAFeeling_IreneCara.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.8367,146.137,0,0,0,1,1,SoundStimuli/Superstition_StevieWonder_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.1464,152.289,0,1,1,0,1,SoundStimuli/Superstition_StevieWonder_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.2894,153.156,3.988888889,0.856,0,3,3,15,1,song_indices/Superstition_StevieWonder.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.1577,160.5921,0,0,0,0,1,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.6011,166.8778,0,1,1,1,1,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.8781,167.9615,1.044444444,1.0708,0,4,4,14,1,song_indices/Kiss_Prince.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.9632,174.0805,0,0,0,0,1,SoundStimuli/JoyToTheWorld_ThreeDogNight_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.09,179.2158,0,1,1,1,1,SoundStimuli/JoyToTheWorld_ThreeDogNight_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.2162,180.5995,5.994444444,1.3705,0,5,5,8,1,song_indices/JoyToTheWorld_ThreeDogNight.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6014,186.9023,0,0,0,0,1,SoundStimuli/LetsGetItOn_MarvinGaye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.9112,193.5549,0,1,1,1,1,SoundStimuli/LetsGetItOn_MarvinGaye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.555,194.6433,3.972222222,1.0786,0,6,6,20,1,song_indices/LetsGetItOn_MarvinGaye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.6444,200.8631,0,0,0,0,1,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
