welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Jazz,survey.question1.Latin,survey.question1.Classical,survey.question1.Classic rock,survey.question1.Ambient,survey.question1.Country,survey.question1.Reggae,survey.question1.Electronic (EDM),survey.question1.Metal,survey.question1.Alternative rock,survey.question1.Folk/indie,survey.question1.A cappella,survey.question1.R&B,survey.question1.Disco,survey.question1.Hip hop,survey.question1.Pop,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.other_genres,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0,1.683,space,1.66,,464455,001,2024-06-17_10h44.15.659,experiment,2024.1.5,Win32,60.0240096,60ff2c3d915d23318b73ae8d,667045947eb812cbdacbf325,66704b8e09e6e5797ec72f51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,464455,001,2024-06-17_10h44.15.659,experiment,2024.1.5,Win32,60.0240096,60ff2c3d915d23318b73ae8d,667045947eb812cbdacbf325,66704b8e09e6e5797ec72f51,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,464455,001,2024-06-17_10h44.15.659,experiment,2024.1.5,Win32,60.0240096,60ff2c3d915d23318b73ae8d,667045947eb812cbdacbf325,66704b8e09e6e5797ec72f51,,,373.68,373.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,464455,001,2024-06-17_10h44.15.659,experiment,2024.1.5,Win32,60.0240096,60ff2c3d915d23318b73ae8d,667045947eb812cbdacbf325,66704b8e09e6e5797ec72f51,,,,,373.681,378.11,space,4.405,,378.11,393.966,[-0.01273148148148148],[-0.45023148148148145],[1],[0],[0],[8.656000000000006],"[""play_button""]",right,5.836,,393.966,403.944,space,9.945,,403.945,421.148,2.986111111,17.191,421.148,423.747,space,2.576,,423.763,429.977,0,0,0,0,1,SoundStimuli/BetteDavisEyes_KimCarnes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,464455,001,2024-06-17_10h44.15.659,experiment,2024.1.5,Win32,60.0240096,60ff2c3d915d23318b73ae8d,667045947eb812cbdacbf325,66704b8e09e6e5797ec72f51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.98,435.673,0,1,1,1,1,SoundStimuli/BetteDavisEyes_KimCarnes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,464455,001,2024-06-17_10h44.15.659,experiment,2024.1.5,Win32,60.0240096,60ff2c3d915d23318b73ae8d,667045947eb812cbdacbf325,66704b8e09e6e5797ec72f51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.674,438.22,5.965277778,2.536,0,0,0,5,1,song_indices/BetteDavisEyes_KimCarnes.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,464455,001,2024-06-17_10h44.15.659,experiment,2024.1.5,Win32,60.0240096,60ff2c3d915d23318b73ae8d,667045947eb812cbdacbf325,66704b8e09e6e5797ec72f51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.225,445.583,0,0,0,0,1,SoundStimuli/Happy_PharellWilliams_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,464455,001,2024-06-17_10h44.15.659,experiment,2024.1.5,Win32,60.0240096,60ff2c3d915d23318b73ae8d,667045947eb812cbdacbf325,66704b8e09e6e5797ec72f51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.585,452.945,0,1,1,1,1,SoundStimuli/Happy_PharellWilliams_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,464455,001,2024-06-17_10h44.15.659,experiment,2024.1.5,Win32,60.0240096,60ff2c3d915d23318b73ae8d,667045947eb812cbdacbf325,66704b8e09e6e5797ec72f51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.946,454.676,5.986111111,1.721,0,1,1,7,1,song_indices/Happy_PharellWilliams.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,464455,001,2024-06-17_10h44.15.659,experiment,2024.1.5,Win32,60.0240096,60ff2c3d915d23318b73ae8d,667045947eb812cbdacbf325,66704b8e09e6e5797ec72f51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.681,460.623,0,0,0,1,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
