welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.activities,survey.question1.Classic rock,survey.question1.Jazz,survey.question1.Classical,survey.question1.Alternative rock,survey.question1.Disco,survey.question1.A cappella,survey.question1.Electronic (EDM),survey.question1.Latin,survey.question1.Metal,survey.question1.R&B,survey.question1.Reggae,survey.question1.Pop,survey.question1.Country,survey.question1.Hip hop,survey.question1.Folk/indie,survey.question1.Ambient,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.005,1.8442,space,1.8224,,714122,001,2024-06-14_09h35.35.742,experiment,2024.1.5,Win32,60.24096386,56bd7bf3d4e2180005a86846,666b5f73dbba3f0cd916b177,666c6faf10c451b9be0de405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,714122,001,2024-06-14_09h35.35.742,experiment,2024.1.5,Win32,60.24096386,56bd7bf3d4e2180005a86846,666b5f73dbba3f0cd916b177,666c6faf10c451b9be0de405,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,714122,001,2024-06-14_09h35.35.742,experiment,2024.1.5,Win32,60.24096386,56bd7bf3d4e2180005a86846,666b5f73dbba3f0cd916b177,666c6faf10c451b9be0de405,,,13.3632,13.3634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,714122,001,2024-06-14_09h35.35.742,experiment,2024.1.5,Win32,60.24096386,56bd7bf3d4e2180005a86846,666b5f73dbba3f0cd916b177,666c6faf10c451b9be0de405,,,,,13.3657,15.462,space,2.0603,,15.4626,40.1013,"[0.001388964696233006,-0.04207405943164653,-0.02080496704470355]","[-0.4210478906545034,-0.4478655581748017,-0.40717668331641804]","[1,1,1]","[0,0,0]","[0,0,0]","[1.81340000000597,7.448400000005961,21.910500000000013]","[""play_button""]",right,14.6201,,40.1021,49.5705,space,9.4224,,49.5713,76.7778,4.998267997,27.1405,76.778,78.1634,space,1.3753,,78.255,84.7783,0,0,0,1,1,SoundStimuli/OldTownRoad_LilNasX_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,714122,001,2024-06-14_09h35.35.742,experiment,2024.1.5,Win32,60.24096386,56bd7bf3d4e2180005a86846,666b5f73dbba3f0cd916b177,666c6faf10c451b9be0de405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.8187,92.2496,0,1,1,0,1,SoundStimuli/OldTownRoad_LilNasX_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,714122,001,2024-06-14_09h35.35.742,experiment,2024.1.5,Win32,60.24096386,56bd7bf3d4e2180005a86846,666b5f73dbba3f0cd916b177,666c6faf10c451b9be0de405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.296,95.1794,4.953902881,2.8769,0,0,0,20,1,song_indices/OldTownRoad_LilNasX.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,714122,001,2024-06-14_09h35.35.742,experiment,2024.1.5,Win32,60.24096386,56bd7bf3d4e2180005a86846,666b5f73dbba3f0cd916b177,666c6faf10c451b9be0de405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1806,102.9235,0,0,0,1,1,SoundStimuli/MyGirl_TheTemptations_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,714122,001,2024-06-14_09h35.35.742,experiment,2024.1.5,Win32,60.24096386,56bd7bf3d4e2180005a86846,666b5f73dbba3f0cd916b177,666c6faf10c451b9be0de405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.984,109.4072,0,1,1,0,1,SoundStimuli/MyGirl_TheTemptations_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,714122,001,2024-06-14_09h35.35.742,experiment,2024.1.5,Win32,60.24096386,56bd7bf3d4e2180005a86846,666b5f73dbba3f0cd916b177,666c6faf10c451b9be0de405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.4081,111.9315,3.001838015,2.4814,0,1,1,15,1,song_indices/MyGirl_TheTemptations.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,714122,001,2024-06-14_09h35.35.742,experiment,2024.1.5,Win32,60.24096386,56bd7bf3d4e2180005a86846,666b5f73dbba3f0cd916b177,666c6faf10c451b9be0de405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.9328,120.0594,0,0,0,1,1,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
