welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Disco,survey.question1.Country,survey.question1.A cappella,survey.question1.Pop,survey.question1.R&B,survey.question1.Alternative rock,survey.question1.Latin,survey.question1.Hip hop,survey.question1.Electronic (EDM),survey.question1.Folk/indie,survey.question1.Reggae,survey.question1.Classic rock,survey.question1.Jazz,survey.question1.Metal,survey.question1.Ambient,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.1795,249.0022,0,1,1,1,1,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0024,250.4205,3.688888889,1.4099,0,2,2,23,1,song_indices/PokerFace_LadyGaga.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.4211,256.4085,0,0,0,1,1,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.4137,262.5481,0,1,1,0,1,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.5482,263.554,5.772222222,1.0001,0,3,3,5,1,song_indices/TheSign_AceOfBase.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.5546,269.0087,0,0,0,1,1,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.0141,275.021,0,1,1,0,1,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.021,275.6755,4.072222222,0.6474,0,4,4,17,1,song_indices/HowDoILive_LeAnnRimes.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.676,282.1605,0,0,0,0,1,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.1657,289.9742,0,1,1,1,1,SoundStimuli/Dreams_FleetwoodMac_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.9744,291.9208,2.011111111,1.9407,0,5,5,1,1,song_indices/Dreams_FleetwoodMac.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.9212,298.0336,0,0,0,0,1,SoundStimuli/Superstition_StevieWonder_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.0388,303.3125,0,1,1,1,1,SoundStimuli/Superstition_StevieWonder_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.3126,306.3914,4.611111111,3.069,0,6,6,15,1,song_indices/Superstition_StevieWonder.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.392,312.3793,0,0,0,0,1,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.3845,318.0763,0,1,1,1,1,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0764,322.4765,3.394444444,4.3918,0,7,7,10,1,song_indices/Levitating_DuaLipa.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.4771,328.9311,0,0,0,1,1,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.9363,334.9857,0,1,1,0,1,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.9858,337.3314,1.005555556,2.3382,0,8,8,6,1,song_indices/Weak_SWV.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.3319,344.8405,0,0,0,1,1,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.8461,351.0308,0,1,1,0,1,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.0308,353.9802,4.972222222,2.9413,0,9,9,3,1,song_indices/TikTok_Kesha.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.9807,360.2349,0,0,0,1,1,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.2404,367.6471,0,1,1,0,1,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.6472,369.8658,1.466666667,2.213,0,10,10,14,1,song_indices/Kiss_Prince.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.8661,375.9079,0,0,0,1,1,SoundStimuli/Respect_ArethaFranklin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.913,381.8171,0,1,1,0,1,SoundStimuli/Respect_ArethaFranklin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.8172,382.702,1.022222222,0.8754,0,11,11,0,1,song_indices/Respect_ArethaFranklin.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.7027,388.9748,0,0,0,0,1,SoundStimuli/LetsGetItOn_MarvinGaye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.98,395.6015,0,1,1,1,1,SoundStimuli/LetsGetItOn_MarvinGaye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.6016,396.678,3.072222222,1.0667,0,12,12,20,1,song_indices/LetsGetItOn_MarvinGaye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.6788,402.7162,0,0,0,0,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.7214,408.8176,0,1,1,1,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
