song_id,orig_or_cover,mean_valence,sd_valence,mean_arousal,sd_arousal
2008_2,cover,3.9591836734693877,1.645184686611574,2.857142857142857,1.3070322617798436
2008_2,orig,3.9795918367346936,1.6006482530312438,4.428571428571429,1.607275126832159
2008_3,cover,4.510204081632653,1.6598500055174645,5.1020408163265305,1.6487987794045658
2008_3,orig,4.591836734693878,1.5534687979236828,4.326530612244898,1.5862397241857973
2009_2,cover,4.122448979591836,1.8555396010013787,4.020408163265306,1.7968699164376478
2009_2,orig,5.020408163265306,1.5611133302652862,5.959183673469388,1.2069103749082712
2009_3,cover,4.408163265306122,1.9887010767808004,5.755102040816326,1.574941959841933
2009_3,orig,5.612244897959184,1.3665090335506422,5.755102040816326,1.4072818398852267
2010_1,cover,4.4897959183673475,1.7692094395001194,2.387755102040816,1.5250181218952263
2010_1,orig,5.775510204081633,1.4471999706682,5.918367346938775,1.2388962610235899
2010_2,cover,3.204081632653061,1.3225542181188437,2.673469387755102,1.4051653980647145
2010_2,orig,3.510204081632653,1.6847656733651892,3.7142857142857144,1.6329931618554516
2010_3,cover,4.836734693877551,1.624640200879236,5.428571428571429,1.5275252316519465
2010_3,orig,5.326530612244898,1.6251635187220501,4.653061224489796,1.6144015971891263
2011_1,cover,3.8571428571428568,1.8371173070873834,4.204081632653061,1.767526424092139
2011_1,orig,4.346938775510204,1.4937511563198211,5.346938775510204,1.6014449257904988
2011_2,cover,4.959183673469388,1.5937270739981038,4.530612244897959,1.4448477546141691
2011_2,orig,5.877551020408164,1.252208932600448,6.26530612244898,1.036329866324779
2011_3,cover,5.775510204081632,1.7110584701977236,6.020408163265306,1.3917883567309983
2011_3,orig,6.081632653061225,1.5252968931473296,6.408163265306122,1.0785477764672495
2011_4,cover,4.204081632653061,1.6199227326832428,3.5306122448979593,1.6469927243353586
2011_4,orig,4.204081632653061,1.682998215446849,5.36734693877551,1.5504552765642259
2012_1,cover,3.816326530612245,1.6030370835250387,3.857142857142857,1.486046208343917
2012_1,orig,3.693877551020408,1.8841894989695733,4.020408163265306,1.7137896107550579
2012_2,cover,5.3061224489795915,1.5706166733782876,5.142857142857143,1.5138251770487459
2012_2,orig,5.877551020408164,1.0130945386377754,5.816326530612245,1.0930360886798125
2012_3,cover,4.979591836734694,1.4647211896007053,3.020408163265306,1.6264710766765287
2012_3,orig,4.959183673469388,1.5405516283876668,4.163265306122449,1.699839928438241
2012_4,cover,3.816326530612245,1.7160209471788104,4.469387755102041,1.7807072660454153
2012_4,orig,4.63265306122449,1.6290830441158761,5.26530612244898,1.454526128504882
2012_5,cover,4.142857142857143,1.5,3.693877551020408,1.4606517043294558
2012_5,orig,5.163265306122449,1.4626878622293018,5.081632653061225,1.5523736488288609
2013_1,cover,4.408163265306122,1.669809961080138,4.020408163265306,1.4504280390969553
2013_1,orig,4.448979591836735,1.791894068783503,4.326530612244898,1.7246709239499485
2013_2,cover,4.775510204081633,1.6235930591649828,4.795918367346939,1.5676361163220496
2013_2,orig,4.63265306122449,1.7641555764612098,4.448979591836735,1.8378114757526582
2013_3,cover,3.693877551020408,1.7224507931124993,5.755102040816326,1.4220087353942013
2013_3,orig,3.9183673469387754,1.6812288994199744,5.428571428571429,1.4433756729740639
2013_5,cover,4.857142857142857,1.4719601443879744,4.63265306122449,1.5638344641593356
2013_5,orig,5.1020408163265305,1.4324352509971683,5.346938775510204,1.4223076965528483
2013_6,cover,4.3061224489795915,1.4889045418339883,3.9795918367346936,1.5477106200014608
2013_6,orig,4.469387755102041,1.4874760616606935,4.081632653061225,1.5657364440559267
2014_1,cover,6.061224489795919,1.6125570179235271,5.224489795918367,1.805838980022501
