song_id,mfccs_dist
2008_2,37.81087197600495
2008_3,42.55311341074266
2009_2,43.59437880556841
2009_3,38.12722154518733
2010_1,57.94944947693465
2010_2,52.120977554827064
2010_3,42.864295268809094
2011_1,85.76297371522398
2011_2,33.26024109334561
2011_3,18.592215607984134
2011_4,54.5089200316716
2012_1,30.943622289840302
2012_2,27.475958509408432
2012_3,34.643157988217816
2012_4,15.47098282678327
2012_5,29.502694776731207
2013_1,29.026559674086997
2013_2,42.405947686732695
2013_3,29.307517119448008
2013_5,63.91573431924083
2013_6,54.08417739888112
2014_1,37.50762102621352
2014_2,50.7912197939328
2014_3,46.972025907151284
2014_4,53.98049165378599
2014_5,34.778647886658554
2015_1,27.057892238634167
2015_2,25.781452876565403
2015_3,93.3558301776887
2015_4,27.73191448211585
2015_5,36.77200868941077
2016_1,74.10735461783314
2016_2,34.833420290743895
2016_3,69.64044164398
2016_4,65.33834024808647
2016_5,56.18708802212463
2017_1,29.568390692688226
2017_2,38.7444666576629
2017_3,41.01718745394078
2017_4,56.80197617520154
2017_5,48.28885350154318
2018_1,40.18213302122996
2018_2,63.14004106676529
2018_3,21.995992457756287
2018_4,56.17137259284718
2018_5,87.59112631148697
2019_1,66.7521911820216
2019_2,49.023997287420826
2019_3,48.01425254582426
2019_4,57.72189209136496
