exp_subject_id,song_id,similarity
592390,2016_3,4
592390,2015_4,3
592390,2015_2,4
592390,2016_4,3
592390,2011_2,4
592390,2011_1,3
592390,2012_2,4
592390,2014_1,6
592390,2015_1,7
592390,2010_1,6
592390,2018_3,6
592390,2013_2,5
592390,2014_5,6
592390,2010_3,5
592390,2013_6,6
592390,2014_4,5
592390,2015_5,5
592390,2008_3,4
592390,2013_3,5
592390,2017_1,5
592390,2012_3,4
592390,2009_2,4
592396,2017_3,6
592396,2018_4,5
592396,2012_5,5
592396,2011_3,7
592396,2019_2,4
592396,2014_2,5
592396,2010_2,6
592396,2013_5,4
592396,2019_4,4
592396,2016_2,6
592396,2013_1,5
592396,2012_1,6
592396,2014_3,3
592396,2018_5,4
592396,2008_2,4
592396,2018_2,6
592396,2017_5,1
592396,2016_5,1
592396,2019_1,5
592396,2009_3,7
592396,2017_2,4
592396,2017_4,3
592396,2012_4,2
592396,2015_3,6
592396,2019_3,3
592396,2010_1,3
592396,2010_3,4
592396,2016_3,3
592396,2012_3,4
592396,2017_1,3
592396,2015_2,6
592396,2013_3,5
592396,2011_1,5
592396,2008_3,2
592396,2015_4,2
592396,2014_4,4
592396,2016_1,1
592396,2011_4,1
592396,2014_1,7
592396,2015_1,7
592396,2009_2,3
592396,2016_4,4
592396,2015_5,5
592396,2012_2,5
592396,2018_1,6
592396,2013_2,6
592396,2014_5,5
592396,2018_3,7
592396,2011_2,4
592396,2013_6,6
592403,2017_4,4
592403,2014_2,2
592403,2019_1,6
592403,2019_3,2
592403,2015_3,6
592403,2014_3,1
592403,2013_1,5
592403,2018_2,3
592403,2017_5,1
592403,2011_3,7
592403,2018_5,1
592403,2017_2,5
592403,2018_4,2
592403,2012_5,2
592403,2016_5,1
592403,2008_2,4
592403,2009_3,5
592403,2019_2,3
592403,2016_2,7
592403,2017_3,6
592403,2012_1,5
592403,2010_2,6
592403,2013_5,6
592403,2019_4,3
592403,2012_4,4
592403,2009_2,2
592403,2014_5,6
592403,2016_3,2
592403,2016_1,2
592403,2010_1,1
592403,2011_2,5
592403,2008_3,2
592403,2013_2,7
592403,2016_4,4
592403,2015_4,2
592403,2018_1,6
592403,2017_1,3
592403,2014_1,7
592403,2012_2,7
592403,2012_3,4
592403,2011_1,4
592403,2015_1,7
592403,2014_4,2
592403,2013_6,6
592403,2015_5,7
592403,2010_3,2
592403,2015_2,7
592403,2011_4,1
592403,2013_3,7
592403,2018_3,6
592404,2013_1,6
592404,2012_4,3
