welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Alternative rock,post_survey.question1.Reggae,post_survey.question1.Folk/indie,post_survey.question1.Country,post_survey.question1.A cappella,post_survey.question1.Electronic (EDM),post_survey.question1.Classic rock,post_survey.question1.Disco,post_survey.question1.Hip hop,post_survey.question1.Latin,post_survey.question1.R&B,post_survey.question1.Jazz,post_survey.question1.Classical,post_survey.question1.Pop,post_survey.question1.Metal,post_survey.question1.Ambient,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.0417,233.8597,0.202710077,-0.185365878,1,0,0,0.8128,compass,0,6,6,19,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.884,242.1704,-0.191869803,0.227642276,1,0,0,1.4253,compass,0,7,7,11,1,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.1777,248.6698,-0.208129966,-0.099729088,1,0,0,0.4794,compass,0,8,8,28,1,SoundStimuli/IWantToHoldYourHand_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.6769,255.1897,0.153929589,0.140921409,1,0,0,0.5,compass,0,9,9,33,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.1969,261.7099,0.153929589,0.140921409,1,0,0,0.5002,compass,0,10,10,4,1,SoundStimuli/Dreams_FleetwoodMac_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.7177,268.7507,0.104065024,-0.211382114,1,0,0,1.0208,compass,0,11,11,32,1,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.7579,275.0625,-0.19295388,0.178861789,1,0,0,0.2917,compass,0,12,12,31,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0704,281.1035,0.145257469,-0.178861789,1,0,0,0.0208,compass,0,13,13,29,1,SoundStimuli/BetteDavisEyes_KimCarnes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.1108,287.7485,0.131165295,0.190785912,1,0,0,0.625,compass,0,14,14,1,1,SoundStimuli/Smooth_SantanaRobThomas_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.7561,294.2062,0.134417361,-0.144173433,1,0,0,0.4379,compass,0,15,15,30,1,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
