welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Reggae,post_survey.question1.Metal,post_survey.question1.Latin,post_survey.question1.Ambient,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Folk/indie,post_survey.question1.Classic rock,post_survey.question1.R&B,post_survey.question1.Electronic (EDM),post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.A cappella,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.question1.Jazz,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.8966,296.3905,-0.058333291,-0.081481474,1,0,0,1.4917,compass,0,6,6,13,1,SoundStimuli/GodOnlyKnows_TheBeachBoys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.3963,305.4023,0.174074102,0.167592578,1,0,0,3.0043,compass,0,7,7,6,1,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.408,311.8188,0.244444459,0.240740741,1,0,0,0.4092,compass,0,8,8,34,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.8241,318.2709,0.244444459,0.243518511,1,0,0,0.4444,compass,0,9,9,7,1,SoundStimuli/NoOne_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.2767,324.6527,-0.282407407,0.272222219,1,0,0,0.3744,compass,0,10,10,16,1,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.658,332.6031,0.174074102,0.199999986,1,0,0,1.9427,compass,0,11,11,12,1,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.6087,344.7222,0.262037065,0.269444448,1,0,0,6.1118,compass,0,12,12,30,1,SoundStimuli/PokerFace_LadyGaga_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.7279,351.5976,0.265740783,0.264814818,1,0,0,0.8675,compass,0,13,13,28,1,SoundStimuli/ComeAndGetYourLove_Redbone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.6029,358.611,-0.112962935,0.113888882,1,0,0,1.0063,compass,0,14,14,21,1,SoundStimuli/GoodGollyMissMolly_LittleRichard_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.6164,365.0275,-0.253703718,0.26203703,1,0,0,0.4093,compass,0,15,15,18,1,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
