welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classic rock,post_survey.question1.R&B,post_survey.question1.Metal,post_survey.question1.Alternative rock,post_survey.question1.Disco,post_survey.question1.Hip hop,post_survey.question1.Folk/indie,post_survey.question1.Latin,post_survey.question1.Electronic (EDM),post_survey.question1.Ambient,post_survey.question1.Reggae,post_survey.question1.Pop,post_survey.question1.Classical,post_survey.question1.Jazz,post_survey.question1.Country,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.2036,1152.1252,0.302189693,0.034942599,1,0,0,1.9162,compass,0,6,6,3,1,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.1352,1160.3425,0.255901874,-0.274917829,1,0,0,2.2011,compass,0,7,7,25,1,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160.3528,1171.1248,0.056983609,-0.244464337,1,0,0,4.767,compass,0,8,8,23,1,SoundStimuli/IWalkTheLine_JohnnyCash_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1171.1349,1179.3577,-0.295946192,0.109584582,1,0,0,2.2163,compass,0,9,9,12,1,SoundStimuli/UnbreakMyHeart_ToniBraxton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179.3685,1189.6412,0.226464844,-0.270324481,1,0,0,4.2652,compass,0,10,10,19,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189.6516,1199.9753,-0.083915428,-0.098907697,1,0,0,4.3173,compass,0,11,11,7,1,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199.9841,1212.3078,0.057307999,0.336003763,1,0,0,6.3161,compass,0,12,12,11,1,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212.3173,1223.5247,0.17541097,-0.021638545,1,0,0,5.1998,compass,0,13,13,16,1,SoundStimuli/ItsAllInTheGame_TommyEdwards_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223.5342,1236.225,-0.133669083,-0.070193312,1,0,0,6.6825,compass,0,14,14,9,1,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236.2352,1248.8249,0.019170577,0.232243291,1,0,0,6.5833,compass,0,15,15,20,1,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248.8363,1261.2413,-0.063148499,-0.260413728,1,0,0,6.4,compass,0,16,16,29,1,SoundStimuli/BetteDavisEyes_KimCarnes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261.2507,1273.1417,0.251637099,0.249953348,1,0,0,5.8836,compass,0,17,17,31,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273.1526,1283.2088,0.102902109,-0.298107967,1,0,0,4.0501,compass,0,18,18,8,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283.219,1290.808,0.306355907,0.308904648,1,0,0,1.5831,compass,0,19,19,10,1,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290.818,1299.6757,-0.255311924,0.25455619,1,0,0,2.8505,compass,0,20,20,5,1,SoundStimuli/JoyToTheWorld_ThreeDogNight_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299.6865,1308.9916,0.262499774,0.305527835,1,0,0,3.3001,compass,0,21,21,26,1,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309.0014,1318.1591,0.145495945,-0.314673643,1,0,0,3.1513,compass,0,22,22,28,1,SoundStimuli/IWantToHoldYourHand_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,959167,001,2024-07-12_15h41.26.186,experiment,2024.1.5,MacIntel,56.17977528,614c1267826bcb89bd92e726,6691931c2c63981b064e1f0c,6691b0dc720e8dcc562ed284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318.1685,1328.658,0.159042584,0.269582,1,0,0,4.4824,compass,0,23,23,2,1,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
