welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Reggae,post_survey.question1.Disco,post_survey.question1.Hip hop,post_survey.question1.Folk/indie,post_survey.question1.Metal,post_survey.question1.Electronic (EDM),post_survey.question1.Latin,post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.question1.Classical,post_survey.question1.A cappella,post_survey.question1.Ambient,post_survey.question1.Jazz,post_survey.question1.Pop,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0395,345.9792,0.275925954,0.307407397,1,0,0,0.9084,compass,0,6,6,11,1,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.9848,352.384,0.325925898,-0.329629616,1,0,0,0.297,compass,0,7,7,25,1,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.3896,358.9181,0.010185171,-0.167592578,1,0,0,0.5089,compass,0,8,8,24,1,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.9237,365.5764,0.110185199,0.306481485,1,0,0,0.6259,compass,0,9,9,14,1,SoundStimuli/LikeARollingStone_BobDylan_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.5826,372.3836,-0.19722218,0.125925912,1,0,0,0.7973,compass,0,10,10,2,1,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.3893,378.934,0.266666695,-0.323148162,1,0,0,0.4915,compass,0,11,11,16,1,SoundStimuli/ItsAllInTheGame_TommyEdwards_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.94,385.5557,0.060185185,0.331481474,1,0,0,0.6085,compass,0,12,12,15,1,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.5613,392.0592,0.209259245,-0.305555556,1,0,0,0.4927,compass,0,13,13,23,1,SoundStimuli/IWalkTheLine_JohnnyCash_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.0652,398.4475,0.337962963,0.347222222,1,0,0,0.3019,compass,0,14,14,1,1,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.4531,407.5645,0.339814787,0.337037034,1,0,0,3.0986,compass,0,15,15,17,1,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
