welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Pop,post_survey.question1.Classical,post_survey.question1.Ambient,post_survey.question1.R&B,post_survey.question1.Folk/indie,post_survey.question1.Country,post_survey.question1.Disco,post_survey.question1.Reggae,post_survey.question1.Latin,post_survey.question1.Alternative rock,post_survey.question1.Classic rock,post_survey.question1.Jazz,post_survey.question1.A cappella,post_survey.question1.Electronic (EDM),post_survey.question1.Hip hop,post_survey.question1.Metal,post_survey.other_genres,post_survey.genres_ranked.text3,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.2657,262.6699,0.347969265,-0.345225027,1,0,0,0.4002,compass,0,6,6,13,1,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.6746,269.1193,-0.309549945,0.244237102,1,0,0,0.4413,compass,0,7,7,5,1,SoundStimuli/JoyToTheWorld_ThreeDogNight_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.1243,276.5151,0.34687157,-0.351811196,1,0,0,0.521,compass,0,8,8,32,1,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.5202,284.2228,-0.20417124,-0.339736553,1,0,0,1.6995,compass,0,9,9,23,1,SoundStimuli/IWalkTheLine_JohnnyCash_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.228,297.3232,-0.004390779,0.118002195,1,0,0,7.0909,compass,0,10,10,25,1,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.3279,314.598,-0.049396268,-0.267288694,1,0,0,11.2665,compass,0,11,11,30,1,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.6027,327.5353,-0.79143798,0.216794731,1,0,0,1.5751,compass,0,12,12,2,1,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.5401,336.0726,0.150384193,0.111416026,1,0,0,2.5288,compass,0,13,13,10,1,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0774,345.2644,-0.077936334,-0.351811196,1,0,0,2.5412,compass,0,14,14,14,1,SoundStimuli/LikeARollingStone_BobDylan_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.2695,354.4229,0.120746432,0.055433589,1,0,0,3.15,compass,0,15,15,18,1,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.4277,362.3099,-0.126234907,0.088364435,1,0,0,1.8791,compass,0,16,16,33,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.3151,370.1977,0.181119649,0.347420417,1,0,0,1.8793,compass,0,17,17,3,1,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.2023,377.0806,0.133918771,0.22557629,1,0,0,0.875,compass,0,18,18,11,1,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.0852,386.143,-0.184412733,-0.349615807,1,0,0,3.054,compass,0,19,19,9,1,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,505333,001,2024-07-12_16h27.05.858,experiment,2024.1.5,Win32,238.0952381,653ee1d628ced1573a58023d,6691931c2c63981b064e1f0c,6691bb5c36bed8eb2b8fdbe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.1476,392.9721,-0.132821076,-0.116904501,1,0,0,0.8207,compass,0,20,20,24,1,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
