welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Hip hop,post_survey.question1.Classical,post_survey.question1.Metal,post_survey.question1.Reggae,post_survey.question1.A cappella,post_survey.question1.Jazz,post_survey.question1.Pop,post_survey.question1.Folk/indie,post_survey.question1.Electronic (EDM),post_survey.question1.R&B,post_survey.question1.Country,post_survey.question1.Latin,post_survey.question1.Alternative rock,post_survey.question1.Classic rock,post_survey.question1.Ambient,post_survey.question1.Disco,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.862,280.112,0.295555556,0.305555556,1,0,0,2.249,compass,0,3,3,29,1,SoundStimuli/OldTownRoad_LilNasX_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.113,288.296,-0.081111111,-0.107777778,1,0,0,2.166,compass,0,4,4,23,1,SoundStimuli/StrawberryFieldsForever_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.296,296.948,0.35,0.347777778,1,0,0,1.5,compass,0,5,5,14,1,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.949,303.116,0.211111111,0.098888889,1,0,0,0.152,compass,0,6,6,16,1,SoundStimuli/BohemianRhapsody_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.116,310.432,0.28,0.103333333,1,0,0,1.3,compass,0,7,7,0,1,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.432,317.165,-0.335555556,0.332222222,1,0,0,0.717,compass,0,8,8,22,1,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.165,323.532,0.332222222,0.322222222,1,0,0,0.367,compass,0,9,9,6,1,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.532,335.867,-0.076666667,0.052222222,1,0,0,6.334,compass,0,10,10,1,1,SoundStimuli/Stronger_KanyeWest_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.868,343.717,0.278888889,0.068888889,1,0,0,1.834,compass,0,11,11,2,1,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.717,350.55,0.337777778,0.336666667,1,0,0,0.833,compass,0,12,12,20,1,SoundStimuli/HeyYa_Outkast_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
