welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Metal,post_survey.question1.Classic rock,post_survey.question1.Reggae,post_survey.question1.Classical,post_survey.question1.Alternative rock,post_survey.question1.Folk/indie,post_survey.question1.Country,post_survey.question1.Pop,post_survey.question1.Disco,post_survey.question1.A cappella,post_survey.question1.Electronic (EDM),post_survey.question1.Hip hop,post_survey.question1.Ambient,post_survey.question1.Jazz,post_survey.question1.R&B,post_survey.question1.Latin,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.715,266.427,-0.173076923,-0.199519231,1,0,0,0.704,compass,0,6,6,26,1,SoundStimuli/LivinOnAPrayer_BonJovi_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.427,272.587,0.181490385,-0.219951923,1,0,0,0.15,compass,0,7,7,11,1,SoundStimuli/Superstition_StevieWonder_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.588,279.577,0.334134615,0.340144231,1,0,0,0.982,compass,0,8,8,24,1,SoundStimuli/UptownFunk_MarkRonson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.577,286.514,0.162259615,-0.206730769,1,0,0,0.931,compass,0,9,9,17,1,SoundStimuli/Fallin_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.514,293.343,0.306490385,-0.290865385,1,0,0,0.817,compass,0,10,10,5,1,SoundStimuli/MyGirl_TheTemptations_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.343,300.946,0.25,0.117788462,1,0,0,1.591,compass,0,11,11,28,1,SoundStimuli/ComeAndGetYourLove_Redbone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.947,307.352,-0.131009615,-0.152644231,1,0,0,0.401,compass,0,12,12,29,1,SoundStimuli/OldTownRoad_LilNasX_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.353,313.745,0.242788462,-0.210336538,1,0,0,0.368,compass,0,13,13,18,1,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.745,321.7,-0.131009615,0.094951923,1,0,0,1.949,compass,0,14,14,3,1,SoundStimuli/NoScrubs_TLC_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.701,328.088,-0.147836538,-0.152644231,1,0,0,0.369,compass,0,15,15,23,1,SoundStimuli/StrawberryFieldsForever_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.089,334.511,0.228365385,0.216346154,1,0,0,0.408,compass,0,16,16,27,1,SoundStimuli/ShapeofYou_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.512,340.859,0.213942308,0.191105769,1,0,0,0.333,compass,0,17,17,1,1,SoundStimuli/Stronger_KanyeWest_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.86,347.605,-0.179086538,-0.194711538,1,0,0,0.734,compass,0,18,18,33,1,SoundStimuli/StandByMe_BenEKing_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.606,353.792,-0.137019231,0.118990385,1,0,0,0.184,compass,0,19,19,6,1,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.792,360.183,0.216346154,0.179086538,1,0,0,0.389,compass,0,20,20,21,1,SoundStimuli/GoodGollyMissMolly_LittleRichard_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.183,366.626,-0.216346154,-0.146634615,1,0,0,0.433,compass,0,21,21,13,1,SoundStimuli/GodOnlyKnows_TheBeachBoys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.627,373.007,-0.164663462,0.159855769,1,0,0,0.374,compass,0,22,22,4,1,SoundStimuli/GetUrFreakOn_MissyElliot_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.007,379.557,-0.163461538,0.200721154,1,0,0,0.54,compass,0,23,23,30,1,SoundStimuli/PokerFace_LadyGaga_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.558,386.043,-0.213942308,-0.129807692,1,0,0,0.485,compass,0,24,24,16,1,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128549,001,2024-07-12_19h01.24.612,experiment,2024.1.5,MacIntel,58.82352941,664576e027348efebb4dc5ac,6691931c2c63981b064e1f0c,6691b5adc411bda01c7fb378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.044,392.63,-0.213942308,-0.129807692,1,0,0,0.583,compass,0,25,25,31,1,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
