welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Country,post_survey.question1.Alternative rock,post_survey.question1.Folk/indie,post_survey.question1.Jazz,post_survey.question1.Latin,post_survey.question1.Classical,post_survey.question1.Metal,post_survey.question1.A cappella,post_survey.question1.Hip hop,post_survey.question1.Reggae,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.question1.Electronic (EDM),post_survey.question1.Disco,post_survey.question1.Pop,post_survey.question1.Ambient,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.208,415.741,0.176785714,0.116071429,1,0,0,2.532,compass,0,6,6,4,1,SoundStimuli/GetUrFreakOn_MissyElliot_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.741,426.042,-0.189285714,-0.199107143,1,0,0,4.301,compass,0,7,7,34,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.043,434.209,0.300892857,0.308928571,1,0,0,2.134,compass,0,8,8,12,1,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.209,442.309,-0.063392857,-0.0625,1,0,0,2.1,compass,0,9,9,7,1,SoundStimuli/NoOne_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.309,449.209,0.145535714,0.0375,1,0,0,0.9,compass,0,10,10,22,1,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.209,457.376,0.139285714,-0.158035714,1,0,0,2.167,compass,0,11,11,29,1,SoundStimuli/OldTownRoad_LilNasX_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.376,465.876,0.2,0.255357143,1,0,0,2.499,compass,0,12,12,6,1,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.876,474.476,0.11875,0.175,1,0,0,2.566,compass,0,13,13,0,1,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.476,481.642,-0.105357143,-0.122321429,1,0,0,1.166,compass,0,14,14,1,1,SoundStimuli/Stronger_KanyeWest_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.643,488.442,0.065178571,0.053571429,1,0,0,0.767,compass,0,15,15,8,1,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
