welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.listen_time,post_survey.music_making,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Disco,post_survey.question1.Pop,post_survey.question1.Classic rock,post_survey.question1.Jazz,post_survey.question1.Ambient,post_survey.question1.Electronic (EDM),post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.R&B,post_survey.question1.A cappella,post_survey.question1.Folk/indie,post_survey.question1.Reggae,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Metal,post_survey.question1.Classical,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.2473,298.7094,-0.264814815,-0.271296296,1,0,0,3.4502,compass,0,6,6,19,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.7138,306.0927,0.20462963,0.223148148,1,0,0,1.3665,compass,0,7,7,20,1,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.0975,315.5263,-0.011111111,0.115740741,1,0,0,3.4169,compass,0,8,8,0,1,SoundStimuli/GimmeShelter_RollingStones_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.5309,324.093,-0.331481481,-0.326851852,1,0,0,2.5501,compass,0,9,9,21,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.0975,332.7432,-0.351851852,-0.348148148,1,0,0,1.8332,compass,0,10,10,9,1,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.7477,343.1599,-0.24537037,0.244444444,1,0,0,4.4,compass,0,11,11,5,1,SoundStimuli/JoyToTheWorld_ThreeDogNight_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.1645,353.4266,-0.058333333,0.269444444,1,0,0,4.2503,compass,0,12,12,30,1,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.4311,361.4099,0.181481481,-0.203703704,1,0,0,1.9667,compass,0,13,13,23,1,SoundStimuli/IWalkTheLine_JohnnyCash_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.4142,367.9267,0.17037037,-0.180555556,1,0,0,0.5001,compass,0,14,14,14,1,SoundStimuli/LikeARollingStone_BobDylan_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.9311,375.2765,0.187962963,0.206481481,1,0,0,1.3332,compass,0,15,15,34,1,SoundStimuli/Irreplaceable_Beyonce_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
