welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Alternative rock,post_survey.question1.Reggae,post_survey.question1.A cappella,post_survey.question1.Folk/indie,post_survey.question1.Hip hop,post_survey.question1.Classic rock,post_survey.question1.Metal,post_survey.question1.R&B,post_survey.question1.Ambient,post_survey.question1.Electronic (EDM),post_survey.question1.Latin,post_survey.question1.Jazz,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.question1.Pop,post_survey.question1.Country,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.914,475.75,0.170907965,-0.142104888,1,0,0,0.8201,compass,0,6,6,7,1,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.7642,487.8538,0.170907965,-0.142104888,1,0,0,6.0857,compass,0,7,7,13,1,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.8696,496.4735,-0.179992389,-0.166545241,1,0,0,2.5911,compass,0,8,8,6,1,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.49,504.4024,0.170344035,0.198502661,1,0,0,1.9041,compass,0,9,9,24,1,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.4176,511.1491,0.170344035,0.198502661,1,0,0,0.7148,compass,0,10,10,1,1,SoundStimuli/Smooth_SantanaRobThomas_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.1628,517.8907,0.16935601,-0.16741535,1,0,0,0.7213,compass,0,11,11,8,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.9055,525.0526,0.164177693,0.205545864,1,0,0,1.1448,compass,0,12,12,15,1,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0676,543.8836,0.148055242,0.19843174,1,0,0,12.8012,compass,0,13,13,31,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.8979,551.785,0.166530054,-0.161811363,1,0,0,1.8792,compass,0,14,14,4,1,SoundStimuli/Dreams_FleetwoodMac_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.7989,558.4546,0.166530054,-0.161811363,1,0,0,0.6528,compass,0,15,15,19,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
