welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.R&B,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Country,post_survey.question1.Disco,post_survey.question1.Folk/indie,post_survey.question1.A cappella,post_survey.question1.Pop,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Classic rock,post_survey.question1.Reggae,post_survey.question1.Electronic (EDM),post_survey.question1.Metal,post_survey.question1.Ambient,post_survey.question1.Classical,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habits,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.564,273.144,-0.131481481,-0.197222222,1,0,0,0.566,compass,0,6,6,1,1,SoundStimuli/Smooth_SantanaRobThomas_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.145,280.161,-0.055555556,-0.256481481,1,0,0,1,compass,0,7,7,4,1,SoundStimuli/Dreams_FleetwoodMac_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.161,286.411,-0.286111111,-0.276851852,1,0,0,0.233,compass,0,8,8,0,1,SoundStimuli/GimmeShelter_RollingStones_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.411,293.679,0.082407407,-0.25,1,0,0,1.267,compass,0,9,9,7,1,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.68,301.161,0.065740741,0.065740741,1,0,0,1.467,compass,0,10,10,12,1,SoundStimuli/UnbreakMyHeart_ToniBraxton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.162,310.644,0.098148148,-0.231481481,1,0,0,3.466,compass,0,11,11,8,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.645,316.928,0.22962963,-0.255555556,1,0,0,0.267,compass,0,12,12,32,1,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.928,324.678,0.046296296,-0.231481481,1,0,0,1.734,compass,0,13,13,23,1,SoundStimuli/IWalkTheLine_JohnnyCash_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.678,331.379,-0.161111111,-0.211111111,1,0,0,0.7,compass,0,14,14,29,1,SoundStimuli/BetteDavisEyes_KimCarnes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.38,339.295,0.252777778,-0.226851852,1,0,0,1.899,compass,0,15,15,25,1,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.295,345.628,0.185185185,0.239814815,1,0,0,0.317,compass,0,16,16,11,1,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
