welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Country,post_survey.question1.Hip hop,post_survey.question1.R&B,post_survey.question1.Alternative rock,post_survey.question1.Metal,post_survey.question1.A cappella,post_survey.question1.Reggae,post_survey.question1.Ambient,post_survey.question1.Classical,post_survey.question1.Folk/indie,post_survey.question1.Classic rock,post_survey.question1.Disco,post_survey.question1.Latin,post_survey.question1.Electronic (EDM),post_survey.question1.Jazz,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,516664,001,2024-07-12_18h06.28.174,experiment,2024.1.5,Win32,58.47953216,6682bc923a62b9b1519eba14,6691931c2c63981b064e1f0c,6691b621f1df4ac97631a842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.4366,314.9832,-0.297222222,-0.30222229,1,0,0,0.5409,compass,0,6,6,33,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,516664,001,2024-07-12_18h06.28.174,experiment,2024.1.5,Win32,58.47953216,6682bc923a62b9b1519eba14,6691931c2c63981b064e1f0c,6691b621f1df4ac97631a842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.049,321.4991,-0.296666667,-0.30222229,1,0,0,0.4312,compass,0,7,7,24,1,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,516664,001,2024-07-12_18h06.28.174,experiment,2024.1.5,Win32,58.47953216,6682bc923a62b9b1519eba14,6691931c2c63981b064e1f0c,6691b621f1df4ac97631a842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.5384,329.347,-0.32,0.307222222,1,0,0,1.8039,compass,0,8,8,10,1,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,516664,001,2024-07-12_18h06.28.174,experiment,2024.1.5,Win32,58.47953216,6682bc923a62b9b1519eba14,6691931c2c63981b064e1f0c,6691b621f1df4ac97631a842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.3651,336.0508,-0.287777778,0.32,1,0,0,0.662,compass,0,9,9,26,1,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,516664,001,2024-07-12_18h06.28.174,experiment,2024.1.5,Win32,58.47953216,6682bc923a62b9b1519eba14,6691931c2c63981b064e1f0c,6691b621f1df4ac97631a842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.1186,342.4821,0.327777778,-0.319444444,1,0,0,0.3571,compass,0,10,10,21,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,516664,001,2024-07-12_18h06.28.174,experiment,2024.1.5,Win32,58.47953216,6682bc923a62b9b1519eba14,6691931c2c63981b064e1f0c,6691b621f1df4ac97631a842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.5497,349.368,-0.322777778,0.32166665,1,0,0,0.7978,compass,0,11,11,1,1,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,516664,001,2024-07-12_18h06.28.174,experiment,2024.1.5,Win32,58.47953216,6682bc923a62b9b1519eba14,6691931c2c63981b064e1f0c,6691b621f1df4ac97631a842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.4394,355.9658,-0.31,0.25,1,0,0,0.5219,compass,0,12,12,31,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,516664,001,2024-07-12_18h06.28.174,experiment,2024.1.5,Win32,58.47953216,6682bc923a62b9b1519eba14,6691931c2c63981b064e1f0c,6691b621f1df4ac97631a842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.9856,363.3175,0.235555623,-0.295555556,1,0,0,1.3166,compass,0,13,13,7,1,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,516664,001,2024-07-12_18h06.28.174,experiment,2024.1.5,Win32,58.47953216,6682bc923a62b9b1519eba14,6691931c2c63981b064e1f0c,6691b621f1df4ac97631a842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.3524,370.1529,-0.304444444,-0.248888889,1,0,0,0.7855,compass,0,14,14,28,1,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,516664,001,2024-07-12_18h06.28.174,experiment,2024.1.5,Win32,58.47953216,6682bc923a62b9b1519eba14,6691931c2c63981b064e1f0c,6691b621f1df4ac97631a842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.2151,377.8696,0.319444444,0.307222222,1,0,0,1.6508,compass,0,15,15,3,1,SoundStimuli/PartyRockAnthem_LMFAO_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
