welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.R&B,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Classic rock,post_survey.question1.Latin,post_survey.question1.Folk/indie,post_survey.question1.Metal,post_survey.question1.Reggae,post_survey.question1.Classical,post_survey.question1.Electronic (EDM),post_survey.question1.Disco,post_survey.question1.Country,post_survey.question1.Jazz,post_survey.question1.Ambient,post_survey.question1.Alternative rock,post_survey.question1.A cappella,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.2971,677.21,0.201182709,-0.213194809,1,0,0,8.5824,compass,0,5,5,19,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.2183,688.4051,0.196308517,0.122425232,1,0,0,4.8992,compass,0,6,6,20,1,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.4156,695.9177,0.327095032,0.327019768,1,0,0,1.4796,compass,0,7,7,3,1,SoundStimuli/PartyRockAnthem_LMFAO_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.9265,707.1395,0.255091095,-0.24164238,1,0,0,5.1397,compass,0,8,8,13,1,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.1484,724.6953,-0.127433777,-0.041740265,1,0,0,11.1109,compass,0,9,9,33,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724.7042,734.5375,0.171698837,-0.17584053,1,0,0,3.7929,compass,0,10,10,25,1,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.5467,742.1333,0.216169434,0.223470287,1,0,0,1.2751,compass,0,11,11,17,1,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.1421,766.7461,-0.085497513,-0.163073883,1,0,0,18.4204,compass,0,12,12,15,1,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.7552,773.3076,0.17880394,0.281477127,1,0,0,0.4409,compass,0,13,13,26,1,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.3169,781.2137,-0.023344727,-0.193978653,1,0,0,1.6295,compass,0,14,14,16,1,SoundStimuli/ItsAllInTheGame_TommyEdwards_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.2222,790.6583,0.047383347,0.177676964,1,0,0,3.3179,compass,0,15,15,10,1,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.6675,800.5445,-0.178188744,-0.015940208,1,0,0,3.8162,compass,0,16,16,9,1,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.5532,814.0185,-0.142031708,-0.027308464,1,0,0,7.0512,compass,0,17,17,8,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
