welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classical,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.question1.Hip hop,post_survey.question1.Ambient,post_survey.question1.Reggae,post_survey.question1.Latin,post_survey.question1.Folk/indie,post_survey.question1.Pop,post_survey.question1.A cappella,post_survey.question1.Metal,post_survey.question1.Jazz,post_survey.question1.Disco,post_survey.question1.Electronic (EDM),post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.6759,361.586,0.007407407,0.194444444,1,0,0,3.8999,compass,0,6,6,31,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.5939,374.019,-0.035185185,0.225,1,0,0,6.4166,compass,0,7,7,11,1,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.0255,385.503,0.061111111,0.169444444,1,0,0,5.4671,compass,0,8,8,7,1,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.5138,397.4517,-0.085185185,0.174074074,1,0,0,5.9332,compass,0,9,9,5,1,SoundStimuli/JoyToTheWorld_ThreeDogNight_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.4581,409.4847,0.012962963,0.115740741,1,0,0,6.0165,compass,0,10,10,20,1,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.4914,419.7012,-0.019444444,-0.123148148,1,0,0,4.2,compass,0,11,11,9,1,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.7078,428.7514,0.012962963,0.121296296,1,0,0,3.0337,compass,0,12,12,15,1,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.7578,438.6508,-0.087962963,0.111111111,1,0,0,3.8833,compass,0,13,13,24,1,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.6576,445.5671,0.3,0.208333333,1,0,0,0.8999,compass,0,14,14,28,1,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.5734,452.8003,0.130555556,0.202777778,1,0,0,1.2164,compass,0,15,15,14,1,SoundStimuli/LikeARollingStone_BobDylan_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
