song_id,rms,spectral_bandwidth,spectral_centroid,spectral_contrast,spectral_flatness,spectral_rolloff,zero_crossing_rate,mfccs_offset,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,tempo,key,treble,tbb,genre,mean_valence,sd_valence,mean_arousal,sd_arousal
2008_2_Cover5S,0.14929019,2718.81951772969,2208.048469495,21.7300250890977,0.044050816,5146.025390625,0.0676432291666666,-141.894470214843,85.0835189819336,30.0968532562255,41.1066741943359,17.9668045043945,2.13200211524963,3.62723565101623,1.15554022789001,-2.71191787719726,-0.0912820696830749,-6.27961587905883,0.911275088787078,-4.47151565551757,112.347147,D,1,0,4,3.959183673469388,1.645184686611574,2.857142857142857,1.3070322617798436
2008_2_Original5S,0.2138365,2508.72590275019,2239.42966960976,23.0811373992351,0.026301764,4532.15988911855,0.0843960201793722,-91.7531204223632,82.1125946044921,-1.1696525812149,39.0503425598144,21.9074077606201,3.8835003376007,6.92817449569702,6.67453002929687,2.8163175582885698,13.4678869247436,0.78407472372055,6.46780443191528,4.68697881698608,103.359375,F,1,0,1,3.9795918367346936,1.6006482530312438,4.428571428571429,1.607275126832159
2008_3_Cover5S,0.13103819,2867.29443751447,2722.68344123153,21.8230063277567,0.055790864,6425.49819946289,0.11775643484933,-107.490318298339,76.6862640380859,10.5930786132812,-0.348848760128021,0.233593225479125,6.64236688613891,-1.83107197284698,-0.353460848331451,-4.60734272003173,4.92330980300903,1.40869438648223,2.07461190223693,-6.83680725097656,119,B,0,1,5,4.510204081632653,1.6598500055174643,5.1020408163265305,1.6487987794045658
2008_3_Original5S,0.24166115,2327.4228840561,1910.15202228856,24.1186425864238,0.019448703,4062.51072867106,0.0664704530709342,-91.002082824707,102.230850219726,-4.02781581878662,9.973313331604,-4.74606418609619,5.15496444702148,15.4957933425903,7.7215142250061,-4.49245309829711,23.5988826751709,0.499215841293334,5.28054094314575,2.41488456726074,90,E,1,0,1,4.591836734693878,1.5534687979236828,4.326530612244898,1.5862397241857973
2009_2_Cover5S,0.16302481,2143.33606050258,1791.95203186109,23.8082169797472,0.01598559,3607.71231480328,0.0778293077689243,-114.037780761718,113.395393371582,-9.76418876647949,18.2178001403808,2.34098839759826,2.22478294372558,4.27902317047119,1.22956347465515,-1.68008995056152,8.08516502380371,-4.3421778678894,3.97843480110168,-8.3676528930664,123.046875,B,1,0,4,4.122448979591836,1.8555396010013787,4.020408163265306,1.7968699164376478
2009_2_Original5S,0.22020647,2815.74535290176,2711.29059726678,21.4030857025146,0.030077668,6049.99545784883,0.114806655765503,-38.2121276855468,75.4386672973632,1.75048208236694,16.1517238616943,11.0444259643554,11.0270462036132,9.71997356414795,8.01252079010009,0.96332824230194,10.8513898849487,-1.8619794845581,1.98060858249664,-0.0444308742880821,117.453835,B,1,0,1,5.020408163265306,1.5611133302652862,5.959183673469388,1.2069103749082712
2009_3_Cover5S,0.14973433,2771.68577885603,3296.54547316836,20.4846982967121,0.07998249,6705.37334241365,0.175158048930921,-45.15230178833,43.2322158813476,-6.72480630874633,45.1897773742675,16.0528011322021,3.42574381828308,2.90761923789978,10.2515459060668,5.64442729949951,13.6816425323486,0.053519133478403,9.91476535797119,-1.21907794475555,117.453835,E,1,0,3,4.408163265306122,1.9887010767808004,5.755102040816326,1.574941959841933
2009_3_Original5S,0.18762113,2925.70267477693,2897.21682719318,20.9466470546265,0.05798168,6580.57533297769,0.111805651156387,-71.408447265625,65.0217514038086,9.39153957366943,22.5449676513671,9.36997985839843,11.235725402832,8.76338386535644,4.75164127349853,3.67487072944641,12.0251922607421,-3.53077316284179,6.10657691955566,0.267488092184066,117.453835,E,1,0,1,5.612244897959184,1.3665090335506422,5.755102040816326,1.4072818398852267
2010_1_Cover5S,0.10594077,2374.60134729101,2451.78860997903,26.5855753178449,0.011742425,4660.05432128906,0.116453334263392,-199.445983886718,87.5359878540039,14.210952758789,4.78105926513671,-14.3818130493164,-11.8793487548828,-10.2880735397338,-11.5847558975219,-19.9604606628417,4.56118726730346,-21.2274360656738,-3.35506343841552,-11.4769830703735,89.1029095,F,1,0,2,4.4897959183673475,1.7692094395001194,2.387755102040816,1.5250181218952263
2010_1_Original5S,0.18634403,2629.39512490148,2679.91705183246,21.7836617074471,0.038583472,5484.01437254764,0.122768795543721,-97.1453018188476,70.9893264770507,-2.20180964469909,26.9311847686767,9.16998195648193,7.47007274627685,9.30903053283691,3.44576239585876,1.86610698699951,5.99836444854736,-6.44818401336669,1.42504608631134,-3.38072085380554,117.453835,F,1,0,1,5.775510204081633,1.4471999706682,5.918367346938775,1.23889626102359
2010_2_Cover5S,0.123735376,2566.05006865243,2445.38826793442,24.9147551628056,0.023979088,5235.14569256756,0.102595620173745,-123.941314697265,78.7490615844726,-6.21788215637207,15.4186496734619,-11.6933422088623,-3.07418060302734,-5.36376237869262,-12.8530616760253,-12.2526369094848,-9.08861827850341,-15.5814008712768,-7.16753911972045,-16.8229351043701,112.347147,D,1,1,2,3.204081632653061,1.3225542181188437,2.673469387755102,1.4051653980647143
2010_2_Original5S,0.1839808,2248.15701681717,1989.8131772043,22.8682619040071,0.021455307,4137.21033279581,0.0930462494439501,-75.7990264892578,105.707725524902,-8.11542510986328,29.8631916046142,5.50383853912353,11.2656784057617,5.7775011062622,3.58993530273437,4.9879817962646396,7.23602581024169,-5.61805438995361,2.2384192943573,-5.41094446182251,107.666016,E,1,1,1,3.510204081632653,1.6847656733651892,3.7142857142857144,1.6329931618554516
2010_3_Cover5S,0.13562617,2602.6355056662,2690.2339173737,20.2505663516476,0.055955958,5562.47328272405,0.132198923938679,-55.2727928161621,76.6760559082031,-11.6234855651855,30.1162796020507,7.44333457946777,7.30419492721557,1.0528620481491,4.4880576133728,-0.344219148159027,2.53725099563598,3.48158407211303,9.85222053527832,1.74264371395111,95.703125,Db,0,1,3,4.836734693877551,1.624640200879236,5.428571428571429,1.5275252316519463
2010_3_Original5S,0.16128786,2889.80008843552,2848.3596994556,22.4523385896792,0.03144281,6447.75098717731,0.136166779891304,-85.7231369018554,75.1370849609375,18.9851570129394,12.8992738723754,8.18044090270996,5.62741327285766,-8.02302360534668,0.25002384185791,-12.5843029022216,-2.08905792236328,-6.30851697921752,-5.19454336166381,-0.379612296819686,95.703125,E,0,1,1,5.326530612244898,1.62516351872205,4.653061224489796,1.6144015971891263
