welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Hip hop,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Folk/indie,post_survey.question1.R&B,post_survey.question1.A cappella,post_survey.question1.Classical,post_survey.question1.Metal,post_survey.question1.Ambient,post_survey.question1.Disco,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.question1.Country,post_survey.question1.Classic rock,post_survey.question1.Pop,post_survey.question1.Latin,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073.2792,1084.2748,0.166175447,-0.195840172,1.0,0.0,0.0,4.9833,compass,0.0,23.0,23.0,17.0,1.0,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084.3127,1094.8901,0.223234502,0.254477494,1.0,0.0,0.0,4.5654,compass,0.0,24.0,24.0,26.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094.9289,1101.4558,0.223234502,0.254477494,1.0,0.0,0.0,0.5171,compass,0.0,25.0,25.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101.488,1112.6547,0.231223099,-0.231667356,1.0,0.0,0.0,5.15,compass,0.0,26.0,26.0,27.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.6871,1118.9035,-0.196304265,-0.207945308,1.0,0.0,0.0,0.1996,compass,0.0,27.0,27.0,10.0,1.0,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118.9355,1124.9686,0.117974175,-0.17300432,1.0,0.0,0.0,0.0165,compass,0.0,28.0,28.0,31.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125.0006,1136.5846,0.118387858,-0.170426093,1.0,0.0,0.0,5.5831,compass,0.0,29.0,29.0,7.0,1.0,SoundStimuli/NoOne_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136.6178,1144.1005,0.157374629,-0.163041913,1.0,0.0,0.0,1.4668,compass,0.0,30.0,30.0,34.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.132,1152.2327,0.118343777,0.244565384,1.0,0.0,0.0,2.083,compass,0.0,31.0,31.0,21.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.2678,1160.8155,0.21322711,-0.191922449,1.0,0.0,0.0,2.5333,compass,0.0,32.0,32.0,33.0,1.0,SoundStimuli/StandByMe_BenEKing_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
