welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classic rock,post_survey.question1.Hip hop,post_survey.question1.Folk/indie,post_survey.question1.Latin,post_survey.question1.A cappella,post_survey.question1.Alternative rock,post_survey.question1.Reggae,post_survey.question1.Ambient,post_survey.question1.Metal,post_survey.question1.Classical,post_survey.question1.Disco,post_survey.question1.R&B,post_survey.question1.Country,post_survey.question1.Jazz,post_survey.question1.Pop,post_survey.question1.Electronic (EDM),post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.169,599.002,0.196759259,0.210648148,1.0,0.0,0.0,0.817,compass,0.0,21.0,21.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.007,605.502,-0.178240741,0.19212963,1.0,0.0,0.0,0.484,compass,0.0,22.0,22.0,5.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.503,613.735,-0.179398148,-0.180555556,1.0,0.0,0.0,2.217,compass,0.0,23.0,23.0,19.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.742,620.118,-0.150462963,-0.201388889,1.0,0.0,0.0,0.366,compass,0.0,24.0,24.0,6.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.119,626.717,-0.148148148,0.180555556,1.0,0.0,0.0,0.583,compass,0.0,25.0,25.0,12.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.719,633.37,0.168981481,0.159722222,1.0,0.0,0.0,0.634,compass,0.0,26.0,26.0,26.0,1.0,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.376,640.051,-0.126157407,-0.119212963,1.0,0.0,0.0,0.667,compass,0.0,27.0,27.0,25.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.052,646.535,-0.1875,0.1875,1.0,0.0,0.0,0.467,compass,0.0,28.0,28.0,27.0,1.0,SoundStimuli/EyeOfTheTiger_Survivor_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.536,652.951,0.178240741,0.209490741,1.0,0.0,0.0,0.4,compass,0.0,29.0,29.0,10.0,1.0,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.952,660.767,-0.171296296,0.201388889,1.0,0.0,0.0,1.8,compass,0.0,30.0,30.0,14.0,1.0,SoundStimuli/LikeARollingStone_BobDylan_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
