welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classical,post_survey.question1.Ambient,post_survey.question1.Country,post_survey.question1.Metal,post_survey.question1.Electronic (EDM),post_survey.question1.Classic rock,post_survey.question1.Latin,post_survey.question1.A cappella,post_survey.question1.Jazz,post_survey.question1.Reggae,post_survey.question1.Folk/indie,post_survey.question1.Alternative rock,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.R&B,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.other_genres,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.769,390.328,-0.055989583,-0.19140625,1.0,0.0,0.0,10.547,compass,0.0,6.0,6.0,33.0,1.0,SoundStimuli/StandByMe_BenEKing_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.35,398.521,-0.131510417,-0.115885417,1.0,0.0,0.0,2.163,compass,0.0,7.0,7.0,26.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.523,409.304,0.061197917,-0.135416667,1.0,0.0,0.0,4.737,compass,0.0,8.0,8.0,20.0,1.0,SoundStimuli/HeyYa_Outkast_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.308,418.056,0.0703125,-0.135416667,1.0,0.0,0.0,2.732,compass,0.0,9.0,9.0,4.0,1.0,SoundStimuli/GetUrFreakOn_MissyElliot_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.061,424.305,-0.252604167,0.151041667,1.0,0.0,0.0,0.209,compass,0.0,10.0,10.0,18.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.309,432.754,0.049479167,0.061197917,1.0,0.0,0.0,2.431,compass,0.0,11.0,11.0,31.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.763,441.056,-0.0859375,-0.09375,1.0,0.0,0.0,2.284,compass,0.0,12.0,12.0,13.0,1.0,SoundStimuli/GodOnlyKnows_TheBeachBoys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.059,448.026,-0.16796875,0.12890625,1.0,0.0,0.0,0.953,compass,0.0,13.0,13.0,29.0,1.0,SoundStimuli/OldTownRoad_LilNasX_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.031,460.968,-0.166666667,0.141927083,1.0,0.0,0.0,6.93,compass,0.0,14.0,14.0,1.0,1.0,SoundStimuli/Stronger_KanyeWest_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.969,467.471,-0.123697917,-0.06640625,1.0,0.0,0.0,0.458,compass,0.0,15.0,15.0,16.0,1.0,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
