welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Reggae,post_survey.question1.Latin,post_survey.question1.Folk/indie,post_survey.question1.Metal,post_survey.question1.R&B,post_survey.question1.A cappella,post_survey.question1.Country,post_survey.question1.Pop,post_survey.question1.Classical,post_survey.question1.Classic rock,post_survey.question1.Hip hop,post_survey.question1.Ambient,post_survey.question1.Electronic (EDM),post_survey.question1.Alternative rock,post_survey.question1.Disco,post_survey.question1.Jazz,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.615,570.682,-0.158888889,-0.148888889,1.0,0.0,0.0,7.052,compass,0.0,13.0,13.0,30.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.682,581.013,0.123333333,-0.071111111,1.0,0.0,0.0,4.317,compass,0.0,14.0,14.0,23.0,1.0,SoundStimuli/IWalkTheLine_JohnnyCash_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.014,596.148,0.073333333,0.084444444,1.0,0.0,0.0,9.117,compass,0.0,15.0,15.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.149,602.432,-0.161111111,0.028888889,1.0,0.0,0.0,0.268,compass,0.0,16.0,16.0,12.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.433,610.764,-0.153333333,0.046666667,1.0,0.0,0.0,2.317,compass,0.0,17.0,17.0,4.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.764,617.248,0.191111111,0.138888889,1.0,0.0,0.0,0.484,compass,0.0,18.0,18.0,11.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.249,630.998,-0.064444444,-0.188888889,1.0,0.0,0.0,7.733,compass,0.0,19.0,19.0,8.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.998,637.947,-0.135555556,-0.177777778,1.0,0.0,0.0,0.933,compass,0.0,20.0,20.0,29.0,1.0,SoundStimuli/BetteDavisEyes_KimCarnes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.947,654.897,0.1,-0.175555556,1.0,0.0,0.0,10.949,compass,0.0,21.0,21.0,22.0,1.0,SoundStimuli/Happy_PharellWilliams_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.897,662.064,-0.2,-0.22,1.0,0.0,0.0,1.166,compass,0.0,22.0,22.0,16.0,1.0,SoundStimuli/ItsAllInTheGame_TommyEdwards_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.064,671.332,0.192222222,-0.145555556,1.0,0.0,0.0,3.266,compass,0.0,23.0,23.0,21.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.332,685.131,0.132222222,-0.108888889,1.0,0.0,0.0,7.783,compass,0.0,24.0,24.0,13.0,1.0,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.132,708.681,0.132222222,-0.108888889,1.0,0.0,0.0,17.533,compass,0.0,25.0,25.0,14.0,1.0,SoundStimuli/LikeARollingStone_BobDylan_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,298291,1,2024-07-12_17h55.55.347,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b4497139d7c78eb0fe0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.681,714.981,-0.236666667,-0.087777778,1.0,0.0,0.0,0.299,compass,0.0,26.0,26.0,34.0,1.0,SoundStimuli/Irreplaceable_Beyonce_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
