welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Country,post_survey.question1.Electronic (EDM),post_survey.question1.Classic rock,post_survey.question1.Ambient,post_survey.question1.Folk/indie,post_survey.question1.Jazz,post_survey.question1.Disco,post_survey.question1.Alternative rock,post_survey.question1.Pop,post_survey.question1.Classical,post_survey.question1.R&B,post_survey.question1.Reggae,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Metal,post_survey.question1.A cappella,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.1938,411.5597,0.142283257,0.115497776,1.0,0.0,0.0,0.3606,compass,0.0,5.0,5.0,22.0,1.0,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.5784,423.3463,0.163154568,0.127361959,1.0,0.0,0.0,5.7494,compass,0.0,6.0,6.0,24.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.3684,429.7296,0.08442966,0.122208625,1.0,0.0,0.0,0.3484,compass,0.0,7.0,7.0,28.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.7513,439.8131,0.074673326,0.052667372,1.0,0.0,0.0,4.0563,compass,0.0,8.0,8.0,27.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.831,447.3995,-0.039605713,-0.200271674,1.0,0.0,0.0,1.5613,compass,0.0,9.0,9.0,32.0,1.0,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.4183,453.5127,0.137605726,0.038156094,1.0,0.0,0.0,0.0926,compass,0.0,10.0,10.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.5318,459.8836,0.108285997,0.013197428,1.0,0.0,0.0,0.3341,compass,0.0,11.0,11.0,17.0,1.0,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.9011,468.5466,-0.095189752,0.031744249,1.0,0.0,0.0,2.6307,compass,0.0,12.0,12.0,16.0,1.0,SoundStimuli/BohemianRhapsody_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.5677,475.2338,-0.100661079,-0.084022624,1.0,0.0,0.0,0.6507,compass,0.0,13.0,13.0,2.0,1.0,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.2524,481.5287,0.063846978,0.016871745,1.0,0.0,0.0,0.2722,compass,0.0,14.0,14.0,14.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
