welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classic rock,post_survey.question1.Reggae,post_survey.question1.Country,post_survey.question1.Electronic (EDM),post_survey.question1.Metal,post_survey.question1.Pop,post_survey.question1.R&B,post_survey.question1.A cappella,post_survey.question1.Ambient,post_survey.question1.Folk/indie,post_survey.question1.Latin,post_survey.question1.Jazz,post_survey.question1.Alternative rock,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.224,455.875,0.185185185,0.127777778,1.0,0.0,0.0,1.64,compass,0.0,26.0,26.0,24.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.876,464.207,-0.127777778,-0.134259259,1.0,0.0,0.0,2.328,compass,0.0,27.0,27.0,30.0,1.0,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.208,470.601,0.248148148,0.114814815,1.0,0.0,0.0,0.384,compass,0.0,28.0,28.0,28.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.602,477.51,-0.197222222,-0.171296296,1.0,0.0,0.0,0.893,compass,0.0,29.0,29.0,5.0,1.0,SoundStimuli/MyGirl_TheTemptations_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.511,484.119,0.123148148,-0.22962963,1.0,0.0,0.0,0.601,compass,0.0,30.0,30.0,27.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.12,491.613,0.244444444,0.201851852,1.0,0.0,0.0,1.484,compass,0.0,31.0,31.0,8.0,1.0,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.613,497.918,0.297222222,0.034259259,1.0,0.0,0.0,0.295,compass,0.0,32.0,32.0,20.0,1.0,SoundStimuli/HeyYa_Outkast_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.918,505.544,0.105555556,0.073148148,1.0,0.0,0.0,1.62,compass,0.0,33.0,33.0,32.0,1.0,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.545,511.87,0.215740741,-0.174074074,1.0,0.0,0.0,0.324,compass,0.0,34.0,34.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.871,515.152,space,3.248,,515.152,518.918,right,3.721,,0.0,0.0,0.0,0.0,1.0,block_order/blockC.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
