welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Disco,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Classical,post_survey.question1.Ambient,post_survey.question1.Alternative rock,post_survey.question1.Classic rock,post_survey.question1.Latin,post_survey.question1.Folk/indie,post_survey.question1.Jazz,post_survey.question1.Metal,post_survey.question1.A cappella,post_survey.question1.Reggae,post_survey.question1.Country,post_survey.question1.Electronic (EDM),post_survey.question1.R&B,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,852540,1,2024-07-12_16h22.21.649,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691b9569a62a93c04fbe267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.3563,494.5775,0.062962963,0.068518519,1.0,0.0,0.0,1.2158,compass,0.0,34.0,34.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,852540,1,2024-07-12_16h22.21.649,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691b9569a62a93c04fbe267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.5861,496.3786,space,1.7751,,496.3795,501.8277,right,5.4352,,0.0,0.0,0.0,0.0,1.0,block_order/blockA.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,852540,1,2024-07-12_16h22.21.649,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691b9569a62a93c04fbe267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.8396,508.8394,-0.105555556,0.148148148,1.0,0.0,0.0,0.9989,compass,0.0,0.0,0.0,34.0,1.0,SoundStimuli/Irreplaceable_Beyonce_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,852540,1,2024-07-12_16h22.21.649,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691b9569a62a93c04fbe267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.8472,515.787,0.105555556,0.127777778,1.0,0.0,0.0,0.9334,compass,0.0,1.0,1.0,24.0,1.0,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,852540,1,2024-07-12_16h22.21.649,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691b9569a62a93c04fbe267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.7916,524.1675,-0.128703704,-0.080555556,1.0,0.0,0.0,2.3657,compass,0.0,2.0,2.0,19.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,852540,1,2024-07-12_16h22.21.649,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691b9569a62a93c04fbe267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.1731,532.3649,0.086111111,-0.226851852,1.0,0.0,0.0,2.1819,compass,0.0,3.0,3.0,18.0,1.0,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,852540,1,2024-07-12_16h22.21.649,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691b9569a62a93c04fbe267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.372,541.5616,-0.062962963,0.112962963,1.0,0.0,0.0,3.1823,compass,0.0,4.0,4.0,11.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,852540,1,2024-07-12_16h22.21.649,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691b9569a62a93c04fbe267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.5689,550.4755,0.085185185,0.113888889,1.0,0.0,0.0,2.8991,compass,0.0,5.0,5.0,25.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,852540,1,2024-07-12_16h22.21.649,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691b9569a62a93c04fbe267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.4829,559.6058,0.088888889,0.188888889,1.0,0.0,0.0,3.1156,compass,0.0,6.0,6.0,15.0,1.0,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,852540,1,2024-07-12_16h22.21.649,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691b9569a62a93c04fbe267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.6145,567.2026,-0.090740741,0.173148148,1.0,0.0,0.0,1.5827,compass,0.0,7.0,7.0,2.0,1.0,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
