welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Electronic (EDM),post_survey.question1.Classic rock,post_survey.question1.Folk/indie,post_survey.question1.A cappella,post_survey.question1.Alternative rock,post_survey.question1.Metal,post_survey.question1.Ambient,post_survey.question1.Hip hop,post_survey.question1.Reggae,post_survey.question1.Classical,post_survey.question1.Pop,post_survey.question1.Country,post_survey.question1.Disco,post_survey.question1.Latin,post_survey.question1.Jazz,post_survey.question1.R&B,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.1816,274.4724,-0.109226707,-0.128613281,1.0,0.0,0.0,2.2842,compass,0.0,6.0,6.0,12.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.4791,280.7215,0.114022714,-0.194267216,1.0,0.0,0.0,0.233,compass,0.0,7.0,7.0,19.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.7301,287.3057,0.082114439,-0.080996817,1.0,0.0,0.0,0.5668,compass,0.0,8.0,8.0,24.0,1.0,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.3165,293.7221,0.294777199,0.29615162,1.0,0.0,0.0,0.3997,compass,0.0,9.0,9.0,22.0,1.0,SoundStimuli/Happy_PharellWilliams_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.7279,300.8723,-0.11556713,0.122706887,1.0,0.0,0.0,1.1333,compass,0.0,10.0,10.0,33.0,1.0,SoundStimuli/TheBoyIsMine_BrandyMonica_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.8787,307.6889,-0.090874566,0.055938947,1.0,0.0,0.0,0.7998,compass,0.0,11.0,11.0,9.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.6893,314.6723,0.2057364,0.224866175,1.0,0.0,0.0,0.9666,compass,0.0,12.0,12.0,28.0,1.0,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.6786,323.9896,0.245876736,0.273766638,1.0,0.0,0.0,3.3004,compass,0.0,13.0,13.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.9967,330.3889,0.243876591,0.188465712,1.0,0.0,0.0,0.3841,compass,0.0,14.0,14.0,5.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.3954,338.6057,-0.132458044,-0.049971065,1.0,0.0,0.0,2.2,compass,0.0,15.0,15.0,16.0,1.0,SoundStimuli/ItsAllInTheGame_TommyEdwards_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
