welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Jazz,post_survey.question1.R&B,post_survey.question1.Latin,post_survey.question1.Pop,post_survey.question1.Reggae,post_survey.question1.Classical,post_survey.question1.Alternative rock,post_survey.question1.Hip hop,post_survey.question1.Electronic (EDM),post_survey.question1.Disco,post_survey.question1.Folk/indie,post_survey.question1.Country,post_survey.question1.A cappella,post_survey.question1.Ambient,post_survey.question1.Metal,post_survey.question1.Classic rock,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.576,384.757,0.283564815,0.263888889,1.0,0.0,0.0,0.168,compass,0.0,15.0,15.0,21.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.757,391.325,0.283564815,0.263888889,1.0,0.0,0.0,0.553,compass,0.0,16.0,16.0,32.0,1.0,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.33,397.454,0.091435185,-0.133101852,1.0,0.0,0.0,0.114,compass,0.0,17.0,17.0,19.0,1.0,SoundStimuli/LetsGetItOn_MarvinGaye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.455,404.023,0.149305556,0.150462963,1.0,0.0,0.0,0.567,compass,0.0,18.0,18.0,31.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.024,410.525,-0.116898148,-0.122685185,1.0,0.0,0.0,0.488,compass,0.0,19.0,19.0,18.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.529,416.954,0.199074074,0.096064815,1.0,0.0,0.0,0.418,compass,0.0,20.0,20.0,29.0,1.0,SoundStimuli/OldTownRoad_LilNasX_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.955,423.459,0.208333333,0.136574074,1.0,0.0,0.0,0.49,compass,0.0,21.0,21.0,30.0,1.0,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.464,429.9,0.208333333,0.145833333,1.0,0.0,0.0,0.434,compass,0.0,22.0,22.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.901,436.403,0.194444444,0.168981481,1.0,0.0,0.0,0.498,compass,0.0,23.0,23.0,8.0,1.0,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.404,442.702,-0.224537037,-0.142361111,1.0,0.0,0.0,0.285,compass,0.0,24.0,24.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
