welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Latin,post_survey.question1.A cappella,post_survey.question1.Reggae,post_survey.question1.R&B,post_survey.question1.Folk/indie,post_survey.question1.Ambient,post_survey.question1.Electronic (EDM),post_survey.question1.Jazz,post_survey.question1.Alternative rock,post_survey.question1.Disco,post_survey.question1.Metal,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Country,post_survey.question1.Classic rock,post_survey.question1.Classical,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247.016,1254.129,0.227310575,-0.101165695,1.0,0.0,0.0,1.1,compass,0.0,27.0,27.0,0.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254.13,1260.579,-0.333055787,-0.066194838,1.0,0.0,0.0,0.433,compass,0.0,28.0,28.0,30.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260.581,1267.079,0.308076603,0.231890092,1.0,0.0,0.0,0.484,compass,0.0,29.0,29.0,22.0,1.0,SoundStimuli/Happy_PharellWilliams_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267.081,1274.245,-0.121565362,0.113655287,1.0,0.0,0.0,1.15,compass,0.0,30.0,30.0,9.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274.246,1280.697,0.260616153,-0.228559534,1.0,0.0,0.0,0.434,compass,0.0,31.0,31.0,13.0,1.0,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280.701,1287.329,-0.178184846,0.211906744,1.0,0.0,0.0,0.618,compass,0.0,32.0,32.0,5.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.33,1293.779,-0.261448793,0.208576187,1.0,0.0,0.0,0.433,compass,0.0,33.0,33.0,6.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293.779,1300.446,-0.243130724,-0.251873439,1.0,0.0,0.0,0.667,compass,0.0,34.0,34.0,29.0,1.0,SoundStimuli/BetteDavisEyes_KimCarnes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.446,1300.447,,,,1300.447,1300.447,,,,0.0,3.0,3.0,3.0,1.0,block_order/blockB.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,Item 1,I played cello between the ages of 7 and 12 and sang in musicals from 14 to 18.,Item 3,Spotify,5.0,7.0,I put it in the background when I'm doing admin work like answering emails. I also use it when I'm walking or commuting.,Never,Never,Sometimes,Sometimes,Often,Never,Never,Sometimes,Often,Never,Never,Rarely,Often,Sometimes,Rarely,Rarely,Alt rock,Folk/indie,Hip hop,I listened to a lot of classical music when I was younger and have definitely started listening to significantly more hip hop in recent years.,When I'm relaxing I put on folk/indie and when I'm working or commuting I put on alt rock and hip hop.,0.0,0.0,0.0,0.0,1.0,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556.034,1558.562
